N	3gram	Vinokur_St	Mirosoze
1	не может быть	5	28
2	в том что	29	9
3	для того чтобы	13	7
4	о том что	19	6
5	вместе с тем	2	6
6	и в этом	4	6
7	но и в	2	5
8	может быть и	2	5
9	после того как	5	5
10	до сих пор	12	5
11	что и в	4	5
12	по отношению к	3	4
13	в конце концов	2	4
14	что он не	5	4
15	на то что	5	4
16	и в самом	3	4
17	можно было бы	8	4
18	в то время	2	4
19	во всяком случае	8	3
20	что в россии	2	3
21	том что он	6	3
22	в значительной степени	2	3
23	как и в	2	3
24	к тому что	4	3
25	так же как	5	3
26	не до конца	2	3
27	т е в	3	2
28	в этих словах	2	2
29	тем что в	2	2
30	что это не	2	2
31	и только в	3	2
32	в этом отношении	13	2
33	не только в	4	2
34	хотя бы и	2	2
35	том что в	4	2
36	это не значит	3	2
37	в том смысле	4	2
38	но также и	5	2
39	что в нем	2	2
40	он не только	2	2
