N	2gram	Losev_Prob	VLabPisa
1	таким образом	20	32
2	в этом	31	29
3	не только	28	26
4	и в	48	26
5	и т	2	25
6	может быть	11	23
7	хотя бы	11	20
8	и не	29	20
9	художественного творчества	10	19
10	не может	6	17
11	в том	25	15
12	в его	19	15
13	этом отношении	4	14
14	в силу	6	14
15	прежде всего	15	13
16	все это	8	13
17	вот что	4	12
18	в частности	5	12
19	как это	5	12
20	в качестве	9	12
21	представляет собою	3	11
22	что в	12	11
23	с другой	8	11
24	из них	4	11
25	то же	6	10
26	не могут	3	10
27	но и	21	10
28	о том	17	10
29	в художественном	2	10
30	по этому	5	10
31	к этому	2	9
32	об этом	11	9
33	для него	2	9
34	он пишет	2	9
35	в своем	16	8
36	том что	29	8
37	по словам	2	8
38	могут быть	2	8
39	другой стороны	8	8
40	все эти	12	8
41	было бы	12	8
42	только в	21	8
43	вместе с	15	8
44	это не	8	7
45	из этих	2	7
46	во всех	2	7
47	по отношению	2	7
48	в году	9	7
49	то что	26	7
50	действительности и	4	7
51	отношению к	2	7
52	тому что	2	7
53	как и	10	7
54	в нем	8	7
55	этому поводу	4	7
56	не было	4	7
57	говорит о	9	7
58	же в	4	7
59	а не	7	7
60	не в	16	6
61	в то	6	6
62	в себе	7	6
63	это и	4	6
64	все же	12	6
65	том же	2	6
66	у него	13	6
67	в искусстве	2	6
68	так и	15	6
69	один из	2	6
70	художественное творчество	5	6
71	и его	11	6
72	между тем	2	6
73	никогда не	7	5
74	даже в	2	5
75	сказать что	13	5
76	в одном	6	5
77	перед нами	14	5
78	в результате	11	5
79	в их	4	5
80	не является	2	5
81	и при	2	5
82	к тому	7	5
83	он говорит	2	5
84	как бы	10	5
85	в них	5	5
86	связи с	11	5
87	и есть	4	5
88	художественный образ	4	5
89	по поводу	2	4
90	в сознании	3	4
91	в нашей	3	4
92	и ее	2	4
93	только что	2	4
94	в виду	3	4
95	ее в	2	4
96	что он	12	4
97	в романе	2	4
98	по существу	2	4
99	с тем	7	4
100	что для	2	4
101	когда он	3	4
102	должен быть	2	4
103	отнюдь не	14	4
104	в самом	7	4
105	равно как	2	4
106	как раз	7	4
107	в ее	6	4
108	в своей	29	4
109	является не	2	4
110	художественных образов	3	4
111	в связи	11	4
112	можно сказать	10	4
113	в этой	14	4
114	не обходится	2	4
115	с его	3	4
116	что пишет	2	3
117	не столь	3	3
118	и от	7	3
119	никак не	10	3
120	при помощи	12	3
121	удивительно что	2	3
122	и к	9	3
123	с этим	3	3
124	мы имеем	3	3
125	так же	7	3
126	но как	3	3
127	и он	5	3
128	том как	2	3
129	вслед за	2	3
130	всех этих	3	3
131	бы в	2	3
132	но даже	6	3
133	в значительной	3	3
134	в конце	10	3
135	его в	9	3
136	и как	10	3
137	если бы	2	3
138	как он	2	3
139	значительной мере	3	3
140	как о	6	3
141	для того	4	3
142	и их	7	3
143	у нас	17	3
144	его не	3	3
145	при всем	3	3
146	того что	8	3
147	мы видели	2	3
148	нет и	3	3
149	далеко не	6	3
150	что у	6	3
151	а в	8	3
152	в котором	5	3
153	именно в	11	3
154	точки зрения	17	3
155	даже и	11	3
156	мира и	5	3
157	что оно	2	3
158	человека и	4	3
159	а н	3	3
160	разума и	2	3
161	что не	3	3
162	жизни и	7	3
163	того чтобы	3	3
164	что и	8	3
165	и по	2	3
166	или в	7	3
167	что они	4	3
168	же и	2	3
169	это мы	2	3
170	вовсе не	18	3
171	в противоположность	3	3
172	не о	2	2
173	в целях	3	2
174	если в	2	2
175	да и	5	2
176	на это	2	2
177	или иной	4	2
178	и потому	4	2
179	до нас	7	2
180	того или	3	2
181	которые в	3	2
182	еще и	6	2
183	о чем	2	2
184	одной стороны	5	2
185	крайней мере	8	2
186	можно было	4	2
187	вплоть до	2	2
188	в каждом	2	2
189	что она	2	2
190	о своем	2	2
191	объективного мира	2	2
192	в другом	6	2
193	и даже	24	2
194	и у	8	2
195	ли не	2	2
196	уже по	2	2
197	вообще и	3	2
198	в стихотворении	28	2
199	конце концов	7	2
200	и никогда	3	2
201	и весь	2	2
202	а как	2	2
203	нет ни	4	2
204	бы не	4	2
205	не всегда	5	2
206	в области	3	2
207	только для	5	2
208	и наконец	4	2
209	в науке	2	2
210	еще не	4	2
211	в которой	7	2
212	между собою	2	2
213	по крайней	8	2
214	в чем	3	2
215	сих пор	3	2
216	с одной	5	2
217	после того	3	2
218	же самое	2	2
219	одной из	5	2
220	что его	4	2
221	в жизни	4	2
222	от них	2	2
223	они и	2	2
224	к ним	3	2
225	том чтобы	3	2
226	но не	12	2
227	и для	11	2
228	ни с	4	2
229	также и	21	2
230	не менее	8	2
231	на него	3	2
232	но в	17	2
233	они не	3	2
234	на то	2	2
235	он в	5	2
236	результате чего	2	2
237	не вполне	2	2
238	в своих	3	2
239	но к	2	2
240	в ней	4	2
241	этом же	2	2
242	будто бы	5	2
243	к его	5	2
244	но для	2	2
245	этой точки	2	2
246	между прочим	2	2
247	разобраться в	2	2
248	тогда когда	4	2
