N	3gram	Potebnia_M	FransuaR
1	в то же	3	55
2	то же время	3	55
3	до сих пор	5	27
4	в том что	18	27
5	с точки зрения	3	20
6	для того чтобы	4	17
7	в связи с	2	16
8	но и в	4	15
9	на самом деле	2	13
10	не может быть	11	13
11	дело в том	3	13
12	с одной стороны	6	13
13	с другой стороны	7	12
14	все то что	2	11
15	как и в	3	10
16	не только в	3	10
17	по отношению к	13	9
18	так и в	5	9
19	более или менее	6	8
20	мы видели что	2	8
21	таким образом в	3	8
22	после того как	3	8
23	подобно тому как	7	7
24	в то время	3	7
25	с самого начала	5	6
26	и все остальные	2	6
27	но все же	2	6
28	в свою очередь	8	6
29	и во всех	2	6
30	во всяком случае	7	5
31	в применении к	3	5
32	одной стороны и	2	5
33	одной и той	3	4
34	в собственном смысле	2	4
35	что и в	4	4
36	то что в	2	4
37	в одном из	2	4
38	на этот вопрос	2	4
39	не только для	2	4
40	и той же	3	4
41	не нуждается в	2	4
42	бы то ни	2	3
43	но и для	2	3
44	в нем есть	2	3
45	потому что в	5	3
46	но это не	2	3
47	в этом смысле	4	3
48	что касается до	2	3
49	как и во	3	3
50	не только не	2	3
51	о которой мы	2	3
52	и в том	3	3
53	что иное как	2	3
54	и как бы	4	3
55	как бы ни	4	3
56	но дело в	2	3
57	одного и того	6	3
58	не что иное	2	3
59	и того же	6	3
60	смысле этого слова	3	3
61	и в этом	7	3
62	друг от друга	3	3
63	сам по себе	5	2
64	таким образом что	2	2
65	только тогда когда	5	2
66	там же с	7	2
67	удовольствия и неудовольствия	6	2
68	не могут быть	5	2
69	все более и	2	2
70	из того что	2	2
71	мы не можем	2	2
72	в одном и	3	2
73	то время когда	2	2
74	ни для кого	2	2
75	может быть только	2	2
76	между человеком и	3	2
77	и может быть	4	2
78	более и более	2	2
79	притом не только	2	2
