N	2gram	Berdyaev_O	VelikijI
1	во имя	3	32
2	великий инквизитор	8	31
3	и не	13	20
4	и в	19	16
5	свободы и	2	12
6	так как	2	9
7	то что	5	9
8	еще не	3	8
9	в истории	2	8
10	и потому	2	7
11	на земле	4	7
12	что они	2	7
13	а не	11	7
14	не есть	2	6
15	человека и	10	6
16	свободной любви	3	6
17	как бы	3	5
18	великом инквизиторе	6	5
19	но и	13	5
20	все это	6	5
21	хотя и	2	5
22	что есть	2	5
23	того что	3	5
24	сделать людей	3	4
25	что все	2	4
26	и все	10	4
27	как и	6	4
28	потому что	9	4
29	все что	3	4
30	в нем	10	4
31	что не	4	4
32	в его	7	4
33	о великом	6	4
34	в этом	12	4
35	что он	3	4
36	и есть	3	4
37	так и	2	4
38	с богом	2	4
39	никогда не	9	3
40	что в	4	3
41	в том	5	3
42	и для	2	3
43	не имеет	2	3
44	но в	2	3
45	любовь к	2	3
46	нет ничего	7	3
47	должно быть	2	3
48	человеческого благополучия	2	3
49	хотя бы	3	3
50	этого мира	2	3
51	в своей	2	3
52	личности и	2	3
53	и против	2	3
54	что и	2	3
55	не было	9	3
56	лишь в	7	3
57	не в	11	3
58	все эти	4	3
59	в этих	3	3
60	с его	4	3
61	инквизитор говорит	2	3
62	и то	2	2
63	с тем	2	2
64	не могли	2	2
65	это не	3	2
66	ее в	2	2
67	не только	11	2
68	не могут	3	2
69	а в	5	2
70	том что	2	2
71	для человека	2	2
72	жизни все	3	2
73	от него	7	2
74	жаждал свободной	2	2
75	нем нет	3	2
76	могут быть	3	2
77	легенда о	2	2
78	выше всего	2	2
79	тогда уже	2	2
80	они испугались	2	2
81	ивана карамазова	7	2
82	ничего и	2	2
83	того чтобы	4	2
84	и никогда	2	2
85	поступил как	2	2
86	тем что	2	2
87	те которые	2	2
88	прежде всего	9	2
89	вместо того	2	2
90	с ним	3	2
91	его не	2	2
92	всего в	2	2
93	для него	5	2
94	людей счастливыми	2	2
