N	2gram	Medvedev_F	RusskieA
1	и в	54	79
2	в том	17	64
3	том что	3	59
4	что в	10	57
5	т е	50	54
6	не только	14	41
7	так как	4	34
8	в этом	39	33
9	и другие	3	33
10	состоит в	3	32
11	как бы	10	31
12	но и	18	31
13	п в	2	30
14	в других	5	30
15	как и	18	28
16	может быть	30	28
17	и на	10	28
18	в этот	2	26
19	а н	3	25
20	одна из	2	24
21	и т	22	23
22	при этом	14	22
23	т д	11	21
24	это не	4	20
25	е в	2	20
26	как мы	10	20
27	а в	11	20
28	из них	5	19
29	все это	11	18
30	с тем	11	17
31	потому что	2	17
32	то что	14	17
33	таким образом	28	17
34	вместе с	8	17
35	мы не	6	16
36	один из	4	15
37	или на	2	15
38	у нас	6	14
39	мы видели	5	14
40	не менее	12	14
41	в них	4	14
42	как это	8	14
43	тем не	2	14
44	и не	34	14
45	и с	17	14
46	и что	2	14
47	так что	2	13
48	и по	3	13
49	к этому	3	13
50	не может	26	13
51	еще не	6	13
52	как в	12	13
53	уже не	9	13
54	в некоторых	2	13
55	в виде	2	12
56	тем что	6	12
57	что на	3	11
58	а на	2	11
59	но это	4	11
60	мы увидим	5	11
61	не имеет	2	11
62	далеко не	2	11
63	его в	5	10
64	и других	4	10
65	так и	24	10
66	по существу	8	10
67	так например	3	10
68	между тем	4	10
69	все же	8	10
70	что и	10	10
71	том чтобы	3	10
72	или в	2	10
73	данном случае	2	9
74	но в	9	9
75	и все	9	9
76	что они	4	9
77	то же	16	9
78	но не	5	9
79	в русском	2	9
80	так же	5	8
81	того что	7	8
82	в россии	4	8
83	в данном	2	8
84	того чтобы	4	8
85	их в	2	8
86	же в	4	8
87	связи с	12	8
88	представление о	2	8
89	во всех	9	8
90	ее в	3	8
91	для того	3	8
92	в этих	3	8
93	в своем	12	7
94	ничего не	5	7
95	в настоящее	11	7
96	не в	16	7
97	главным образом	5	7
98	должна была	2	7
99	к нему	3	7
100	настоящее время	11	7
101	по этому	2	7
102	было бы	10	7
103	до конца	9	7
104	для этого	6	7
105	из этих	4	7
106	и как	6	7
107	еще в	2	7
108	не можем	3	7
109	только в	6	7
110	а не	11	7
111	в этой	10	6
112	должно было	4	6
113	и их	13	6
114	друг друга	4	6
115	на этом	2	6
116	в их	16	6
