N	3gram	Propp_Isto	Narrotol
1	в том что	7	18
2	в данном случае	7	17
3	не только в	9	13
4	по отношению к	3	11
5	о том что	9	9
6	тем не менее	4	8
7	не может быть	5	8
8	с одной стороны	11	6
9	но и в	4	5
10	во всяком случае	3	4
11	в этом и	2	3
12	точно так же	2	3
13	в ответ на	3	3
14	до сих пор	4	3
15	в зависимости от	3	3
16	а в том	2	3
17	друг на друга	2	3
18	но все же	3	2
19	более или менее	3	2
20	на то чтобы	2	2
21	здесь мы имеем	8	2
22	можно было бы	3	2
23	не могло быть	2	2
24	так же как	4	2
25	но и на	2	2
26	к себе и	2	2
27	на том свете	5	2
28	на первый взгляд	5	2
29	что у него	5	2
