N	2gram	Berdyaev_V	Psycholo
1	то что	9	193
2	и в	16	190
3	в том	3	163
4	что в	3	123
5	потому что	4	114
6	том что	2	113
7	и что	3	108
8	в этом	4	100
9	как бы	5	80
10	того чтобы	2	78
11	что он	4	76
12	не только	2	75
13	и не	20	73
14	и т	2	69
15	так как	9	63
16	и мы	3	54
17	как и	4	51
18	что и	3	50
19	а не	7	50
20	только в	2	46
21	к тому	3	45
22	не в	3	45
23	никогда не	3	42
24	и все	4	42
25	но и	5	40
26	того что	5	39
27	и это	2	37
28	с тем	2	35
29	что все	4	33
30	тому что	3	33
31	все это	5	32
32	в ней	4	31
33	мы не	2	31
34	в его	4	31
35	для нас	2	31
36	и для	3	29
37	в нем	4	29
38	что мы	4	28
39	что они	7	28
40	и то	2	28
41	а в	2	27
42	жизни и	3	25
43	тем что	2	24
44	могут быть	2	23
45	один из	2	23
46	т д	2	22
47	между тем	2	22
48	в своей	3	21
49	в конце	3	21
50	ни в	3	21
51	в котором	4	21
52	все эти	3	20
53	тот же	3	20
54	это не	2	20
55	но в	3	18
56	но не	2	18
57	вслед за	2	18
58	можно было	2	18
59	и есть	4	18
60	одна из	2	17
61	во всяком	2	17
62	но это	3	17
63	так и	4	16
64	не имеет	3	16
65	то это	3	16
66	и потому	7	15
67	еще не	8	15
68	не могут	2	15
69	в них	3	15
70	во всех	3	15
71	для него	2	15
72	должна быть	3	14
73	хотя бы	3	14
74	с ним	2	14
75	прежде всего	2	14
76	в жизни	3	14
77	а с	2	13
78	не могли	2	13
79	в этих	3	12
80	их в	3	12
81	что не	4	12
82	не будет	2	11
83	но мы	2	11
84	с его	3	11
85	не было	3	11
86	конечно не	2	11
87	от него	2	10
88	не так	2	10
89	должно быть	3	10
90	ее в	2	10
91	мы хотим	4	9
92	не есть	6	9
93	на нас	2	9
94	к чему	3	9
95	в чем	3	9
96	по этому	3	9
97	которые не	2	9
98	его и	2	9
99	не к	2	9
100	и во	2	8
101	бы и	3	8
102	от этого	3	7
103	за ним	3	7
104	все что	4	7
105	когда в	2	7
106	на том	2	7
107	людей и	2	6
108	тот кто	2	6
109	первый раз	3	6
110	как не	3	6
111	в себя	2	6
112	оно не	3	6
113	те которые	2	6
114	да и	2	6
115	в первый	3	6
116	что есть	5	6
117	что я	3	6
118	уже не	2	6
119	говорить о	4	6
120	это мы	2	6
121	человека и	6	5
122	все равно	2	5
123	и теперь	2	5
124	я говорю	2	5
125	его к	2	5
126	нас и	3	5
127	вместо того	2	5
128	это все	2	5
129	его не	2	5
130	хотя и	5	5
131	и сам	2	5
132	нет и	2	5
133	и тогда	2	5
134	и за	2	5
135	ее и	2	4
136	в истории	8	4
137	не с	2	4
138	что от	2	4
139	если не	3	4
140	и никогда	2	4
141	за то	3	4
142	я думаю	2	4
143	является в	2	4
144	никогда еще	2	4
145	от этих	2	4
146	вот почему	2	4
147	это еще	4	4
148	чтобы сделать	2	4
149	в мире	5	4
150	а между	2	4
151	материалом для	2	4
152	когда я	2	3
153	отвращение к	3	3
154	а есть	2	3
155	мы слышим	2	3
156	нем нет	2	3
157	не хотел	2	3
158	по которым	2	3
159	превращается в	3	3
160	личности и	3	3
161	мы и	2	3
162	что их	2	3
163	нет ничего	3	3
164	и я	4	3
165	под этим	2	3
166	а к	2	3
167	их от	3	3
168	на земле	7	3
169	этих трех	3	3
170	в форме	2	3
171	для человека	2	2
172	к людям	6	2
173	с пути	2	2
174	всего в	2	2
175	для них	2	2
176	в вопросе	3	2
177	до того	2	2
178	под конец	2	2
179	уже на	2	2
180	есть уже	2	2
181	так не	2	2
182	люди не	2	2
183	они будут	4	2
184	давно уже	2	2
185	не нужна	3	2
186	они и	2	2
187	любовь к	3	2
188	над ними	2	2
189	тех которые	3	2
190	все тот	2	2
191	так много	2	2
192	человека как	2	2
193	они в	3	2
194	более чем	2	2
195	что было	2	2
196	вопросе о	2	2
