N	3gram	Propp_Isto	Myslijsy
1	в том что	4	47
2	по отношению к	2	26
3	не может быть	6	19
4	тем не менее	6	18
5	только тогда когда	2	17
6	и т д	36	15
7	мере того как	3	14
8	по мере того	3	14
9	не в том	2	13
10	в том смысле	2	13
11	с другой стороны	10	12
12	до сих пор	7	12
13	подобно тому как	2	11
14	для того чтобы	3	11
15	в то время	3	10
16	с одной стороны	7	10
17	о том что	5	9
18	на то что	3	9
19	но и в	2	9
20	что и в	3	9
21	так и в	2	8
22	вместе с тем	7	8
23	в этом случае	13	8
24	и то же	2	7
25	как и в	4	7
26	одно и то	2	7
27	не только в	2	7
28	после того как	4	6
29	таким образом в	2	5
30	и таким образом	2	5
31	и то что	3	5
32	в данном случае	2	4
33	мы видели что	2	4
34	мы не знаем	2	4
35	с этой точки	2	4
36	то время как	3	4
37	на этот вопрос	2	4
38	в том чтобы	2	4
39	этой точки зрения	2	3
40	таким образом мы	3	3
41	если бы мы	3	3
42	но так как	3	3
43	то же в	2	3
44	и тем самым	2	3
45	точно так же	3	3
46	потому что он	5	3
47	но это не	2	3
48	в связи с	6	3
49	этом случае мы	2	2
50	но вместе с	4	2
51	это значит что	2	2
52	в некоторых случаях	3	2
53	так же как	10	2
54	там где нет	2	2
55	здесь как и	2	2
56	не потому что	2	2
57	как мы видели	2	2
58	в таких случаях	2	2
59	так как в	3	2
60	о том как	4	2
61	в этих случаях	7	2
62	но все же	6	2
