N	3gram	Potebnia_M	Narrotol
1	в том что	18	18
2	не только в	3	13
3	по отношению к	13	11
4	в то же	3	8
5	тем не менее	10	8
6	то же время	3	8
7	не может быть	11	8
8	и тем самым	2	6
9	с одной стороны	6	6
10	на самом деле	2	5
11	подобно тому как	7	5
12	для того чтобы	4	5
13	но и в	4	5
14	в свою очередь	8	5
15	к тому что	2	4
16	во всяком случае	7	4
17	в том как	4	3
18	в связи с	2	3
19	с точки зрения	3	3
20	заключает в себе	6	3
21	до сих пор	5	3
22	на то что	3	3
23	дело в том	3	3
24	а в том	4	3
25	друг на друга	2	3
26	все то что	2	2
27	не только не	2	2
28	и потому что	2	2
29	в таком случае	4	2
30	но все же	2	2
31	более или менее	6	2
32	не в том	6	2
33	одного и того	6	2
34	мог бы быть	2	2
35	и в жизни	3	2
36	что иное как	2	2
37	в том смысле	7	2
38	и т п	4	2
39	только потому что	3	2
40	может быть не	4	2
41	и того же	6	2
42	а между тем	5	2
43	сами по себе	8	2
