N	2gram	Losev_Vlad	EvropaiE
1	и в	56	37
2	в отношении	5	32
3	точки зрения	4	23
4	что в	24	21
5	не только	35	18
6	в то	15	16
7	отношении к	2	15
8	хотя бы	5	15
9	то же	10	15
10	в своем	10	14
11	но в	19	14
12	но и	26	14
13	и не	33	14
14	же время	7	14
15	в качестве	7	14
16	в этом	30	12
17	в том	26	11
18	в их	2	11
19	в области	3	11
20	так и	11	10
21	с и	4	10
22	так же	4	9
23	не может	12	9
24	отнюдь не	3	9
25	в себе	5	9
26	прежде всего	5	9
27	только в	11	9
28	было бы	7	8
29	в своей	7	8
30	к тому	5	8
31	по своему	5	7
32	нам кажется	2	7
33	также и	13	7
34	с другой	3	7
35	а также	12	7
36	как и	7	7
37	так как	11	7
38	между прочим	18	7
39	того что	6	7
40	том что	22	6
41	в последние	3	6
42	во всех	4	6
43	то есть	5	6
44	и даже	23	6
45	может быть	12	6
46	и на	7	6
47	с этой	4	6
48	того чтобы	4	6
49	для того	4	6
50	на то	7	6
51	то что	30	6
52	как бы	5	6
53	вовсе не	8	6
54	но не	5	5
55	тем самым	2	5
56	и по	10	5
57	и потому	8	5
58	в россии	7	5
59	в той	2	5
60	как мы	17	5
61	со стороны	5	5
62	не в	12	5
63	в виде	4	5
64	в частности	4	5
65	в течение	13	5
66	одной из	2	5
67	даже в	4	4
68	сказать что	14	4
69	в каком	3	4
70	и притом	5	4
71	не имеет	2	4
72	во многих	2	4
73	можно сказать	10	4
74	то в	6	4
75	именно в	4	4
76	в самом	3	4
77	но даже	3	4
78	в полной	3	4
79	мы не	2	4
80	в ней	5	4
81	для нас	9	4
82	по себе	3	4
83	несмотря на	7	4
84	тем более	4	4
85	к ней	7	4
86	как это	11	4
87	то ни	2	4
88	бы то	2	4
89	чем в	2	4
90	никогда не	15	3
91	с тем	4	3
92	и от	6	3
93	и для	4	3
94	можно считать	3	3
95	о том	13	3
96	в общем	4	3
97	того же	11	3
98	время в	4	3
99	в будущем	2	3
100	не из	2	3
101	когда он	6	3
102	этом смысле	4	3
103	в свою	3	3
104	и к	10	3
105	в результате	6	3
106	последние годы	4	3
107	но на	3	3
108	этот факт	2	3
109	уже и	4	3
110	из них	3	3
111	в них	5	3
112	всяком случае	8	3
113	место в	2	3
114	на себя	3	3
115	что и	6	3
116	во второй	3	3
117	и мы	6	3
118	и тем	2	3
119	по своим	3	3
120	тем что	2	3
121	этом отношении	2	3
122	жизни в	3	3
123	потому что	16	3
124	себе не	2	3
125	в таком	2	3
126	как в	6	3
127	как на	2	3
128	как было	2	3
129	во всяком	8	3
130	дело в	7	3
131	известной степени	2	3
132	россии и	4	3
133	и если	8	2
134	представление о	2	2
135	на этот	9	2
136	кажется что	3	2
137	в его	18	2
138	не есть	4	2
139	на месте	2	2
140	начиная с	3	2
141	например с	2	2
142	что это	2	2
143	что к	3	2
144	и то	13	2
145	что если	3	2
146	к нему	6	2
147	не могут	2	2
148	она не	3	2
149	а в	20	2
150	с этим	3	2
151	мы должны	3	2
152	и сейчас	2	2
153	в котором	10	2
154	его на	4	2
155	заметить что	2	2
156	но как	6	2
157	в свои	2	2
158	в своих	7	2
159	в англию	2	2
160	россия и	6	2
161	с в	6	2
162	и еще	3	2
163	только к	3	2
164	во многом	3	2
165	и с	27	2
166	что на	2	2
167	не говоря	4	2
168	другой стороны	3	2
169	что все	2	2
170	между ними	2	2
171	по своей	4	2
172	в одном	2	2
173	и ту	2	2
174	и можно	4	2
175	и как	7	2
176	в порядке	2	2
177	ко всему	4	2
178	что же	11	2
179	если бы	2	2
180	для них	2	2
181	которого мы	2	2
182	в этих	5	2
183	жизни и	8	2
184	еще более	3	2
185	и теперь	4	2
186	именно к	2	2
187	а не	5	2
188	и тут	2	2
189	и других	2	2
190	с а	13	2
191	прочим и	2	2
192	и что	11	2
193	и во	3	2
194	и наконец	2	2
195	свою очередь	2	2
196	же в	3	2
197	второй половине	3	2
198	и все	8	2
199	таким образом	6	2
200	а именно	4	2
201	в истории	4	2
202	он не	13	2
203	как будто	2	2
204	только одно	4	2
205	на основании	3	2
206	главным образом	5	2
207	но по	2	2
208	говоря уже	3	2
209	не к	2	2
210	в этой	4	2
211	ними и	2	2
212	хотя и	9	2
213	эти последние	4	2
214	к той	2	2
215	вместе с	9	2
216	он сам	3	2
