N	3gram	Losev_Prob	EvropaiE
1	с точки зрения	13	16
2	в то же	2	15
3	с одной стороны	5	8
4	в том что	13	6
5	этой точки зрения	2	5
6	для того чтобы	3	5
7	с этой точки	2	5
8	то ни было	2	4
9	бы то ни	4	4
10	той или иной	4	4
11	не только в	5	4
12	того или иного	2	4
13	и прежде всего	2	3
14	во всяком случае	6	3
15	в этом отношении	4	3
16	можно сказать что	4	3
17	в этом смысле	4	3
18	можно было бы	2	3
19	в той или	2	3
20	то что в	2	2
21	в данном случае	5	2
22	с другой стороны	7	2
23	только в том	2	2
24	на то что	2	2
25	и в частности	4	2
26	не говоря уже	2	2
27	но в то	2	2
28	в свою очередь	2	2
29	не может быть	2	2
