N	3gram	Losev_Prob	Vvedenie
1	для того чтобы	3	22
2	в том что	13	15
3	о том что	14	13
4	в этом смысле	4	10
5	не может быть	2	10
6	тем не менее	8	9
7	до сих пор	3	7
8	до н э	5	6
9	в то же	2	6
10	не что иное	3	5
11	во всяком случае	6	5
12	что иное как	3	5
13	с другой стороны	7	5
14	в том чтобы	2	5
15	по крайней мере	8	4
16	не только в	5	4
17	в данном случае	5	4
18	так или иначе	3	4
19	в этом отношении	4	4
20	но все же	2	4
21	с одной стороны	5	4
22	по отношению к	2	4
23	с точки зрения	13	4
24	можно было бы	2	4
25	вместе с тем	5	3
26	то же самое	2	3
27	той или иной	4	3
28	по этому поводу	4	3
29	можно сказать что	4	3
30	также и в	2	3
31	дело в том	4	3
32	тех или иных	2	3
33	сама по себе	2	3
34	и то что	3	3
35	но в то	2	3
36	в том или	3	2
37	сам по себе	3	2
38	в значительной мере	3	2
39	а также и	3	2
40	этой точки зрения	2	2
41	в до н	2	2
42	с этой точки	2	2
43	как будто бы	3	2
44	в конце концов	7	2
45	точно так же	4	2
46	потому что он	2	2
47	всего то что	2	2
48	только в том	2	2
49	обратить внимание на	4	2
50	и потому что	2	2
51	не говоря уже	2	2
52	после того как	3	2
53	в связи с	11	2
54	в свою очередь	2	2
