N	3gram	Tiupa_Lite	Marksizm
1	с точки зрения	4	46
2	не может быть	5	25
3	в то же	12	15
4	по отношению к	4	15
5	то же время	12	15
6	в связи с	4	14
7	в том что	15	14
8	в отличие от	6	10
9	с другой стороны	5	7
10	в свою очередь	2	7
11	во всяком случае	2	6
12	с одной стороны	8	6
13	в этом отношении	5	5
14	в этом случае	2	5
15	и прежде всего	4	4
16	о том что	3	4
17	но при этом	2	3
18	тем не менее	4	3
19	в том числе	2	3
20	можно было бы	2	3
21	не только в	4	3
22	по крайней мере	2	2
23	прежде всего в	4	2
24	тех пор пока	2	2
25	до тех пор	2	2
26	ничего общего с	2	2
27	в данном случае	6	2
28	чуть ли не	2	2
29	в знаковом материале	2	2
30	ту или иную	2	2
31	так или иначе	8	2
