N	3gram	Tiupa_Narr	Narrotol
1	в том что	11	8
2	с одной стороны	5	7
3	о том что	3	6
4	по отношению к	5	6
5	времени и пространстве	6	5
6	в отличие от	6	5
7	не может быть	6	5
8	во времени и	6	4
9	можно сказать что	5	4
10	той или иной	6	4
11	в данном случае	12	4
12	к тому же	8	4
13	на себя внимание	3	3
14	в то же	7	3
15	то же время	7	3
16	и тем самым	6	3
17	коммуникативного события рассказывания	5	3
18	обращает на себя	3	3
19	состоит в том	5	3
20	как будто он	2	3
21	тем не менее	6	3
22	в свою очередь	2	3
23	в этом отношении	5	3
24	и племянницы в	3	3
25	матери и племянницы	4	3
26	мы имеем дело	4	2
27	будто он прямо	2	2
28	по полю быстро	2	2
29	эпизоде первого цикла	2	2
30	на другой день	4	2
31	и про чертог	2	2
32	не сводится к	7	2
33	так и не	2	2
34	быстро весело постукивая	2	2
35	по сути дела	2	2
36	более или менее	2	2
37	присутствия в мире	2	2
38	таким каким он	2	2
39	весело постукивая палочкой	2	2
40	идет по полю	2	2
41	с точки зрения	2	2
42	в известном смысле	4	2
43	в рассказе о	2	2
44	на протяжении этого	2	2
45	прямо родился монахом	2	2
46	свидетель и судия	3	2
47	свободен теперь как	4	2
48	форме несобственно-прямой речи	2	2
49	протяжении этого эпизода	2	2
50	того или иного	3	2
51	в тексте архиерея	2	2
52	речь идет о	3	2
53	полю быстро весело	2	2
54	точно так же	2	2
55	о приезде матери	2	2
56	теперь как птица	4	2
57	подобно тому как	4	2
58	в конечном счете	4	2
59	и представляет собой	2	2
60	а во втором	2	2
61	в связи с	3	2
62	в первом случае	3	2
63	перед нами не	2	2
64	тогда как в	2	2
65	он прямо родился	2	2
66	не только в	12	2
67	в третьем эпизоде	2	2
68	сами по себе	2	2
