N	2gram	Vygotskiy_	SlovoVZh
1	не может	23	16
2	точки зрения	39	14
3	может быть	20	14
4	и его	14	13
5	как бы	13	13
6	и в	47	12
7	таким образом	38	12
8	в нашем	6	11
9	отношению к	9	11
10	по отношению	10	11
11	и не	27	10
12	так как	25	9
13	если бы	8	9
14	прежде всего	9	8
15	для нас	4	7
16	сказать что	18	7
17	слова и	10	6
18	все время	3	6
19	при этом	4	6
20	в том	38	6
21	в нем	6	6
22	только в	24	6
23	в процессе	12	6
24	с помощью	18	6
25	в ней	5	6
26	никогда не	7	5
27	как в	7	5
28	что мы	14	5
29	к предмету	6	5
30	в виду	5	5
31	можно сказать	9	5
32	но в	9	5
33	том что	28	5
34	то же	16	5
35	как и	19	5
36	и следовательно	8	5
37	мы ни	2	5
38	а не	7	5
39	то что	40	5
40	отнюдь не	2	5
41	в самом	15	4
42	в этом	47	4
43	не только	36	4
44	на самом	3	4
45	что не	2	4
46	его в	7	4
47	и является	5	4
48	зависимости от	6	4
49	не в	7	4
50	с другой	7	4
51	все же	7	4
52	к нему	5	4
53	за пределы	2	4
54	и к	11	4
55	так и	8	4
56	и на	4	4
57	свое выражение	8	4
58	от того	6	4
59	отношение к	8	4
60	как к	4	3
61	в них	3	3
62	по себе	5	3
63	в каком	2	3
64	и вообще	3	3
65	о том	5	3
66	и для	5	3
67	имеет в	4	3
68	внутренней речи	78	3
69	из этого	4	3
70	ни в	3	3
71	все эти	7	3
72	в котором	6	3
73	и наконец	4	3
74	так же	26	3
75	в своей	4	3
76	мы не	10	3
77	конечно не	2	3
78	точка зрения	2	3
79	в себе	14	3
80	нуждается в	5	3
81	еще не	5	3
82	все это	5	3
83	только на	5	3
84	когда он	2	3
85	и ее	3	3
86	между тем	2	3
87	и с	5	3
88	этой точки	4	3
89	но для	2	3
90	не менее	6	3
91	сих пор	6	3
92	с ним	5	3
93	до сих	6	3
94	отношении к	4	3
95	в пределах	3	3
96	и по	6	3
97	в такой	6	3
98	находит свое	3	3
99	самом деле	6	3
100	того что	27	3
101	тем не	4	3
102	и более	2	3
103	но и	19	3
104	для него	6	3
105	ясно что	4	3
106	едва ли	5	2
107	вещи и	2	2
108	одно и	3	2
109	и то	10	2
110	мы в	3	2
111	в его	7	2
112	которые мы	4	2
113	данном случае	5	2
114	к его	3	2
115	имеет место	4	2
116	до конца	8	2
117	и здесь	5	2
118	что в	23	2
119	стороны и	6	2
120	в отношении	9	2
121	не есть	4	2
122	и притом	4	2
123	для других	15	2
124	ничего не	2	2
125	речи в	31	2
126	словом и	10	2
127	числа в	2	2
128	что и	4	2
129	это не	6	2
130	разрыв между	4	2
131	более того	2	2
132	и все	5	2
133	там где	7	2
134	слова но	3	2
135	с точки	31	2
136	она не	7	2
137	но все	2	2
138	тому же	2	2
139	к слову	14	2
140	в своем	3	2
141	дело с	3	2
142	в зависимости	6	2
143	в данном	7	2
144	его к	2	2
145	но мы	5	2
146	с другими	5	2
147	действия и	4	2
148	ко всем	6	2
149	зависит от	3	2
150	мы имеем	3	2
151	и что	14	2
152	в то	10	2
153	себя и	2	2
154	уже в	3	2
155	словами и	2	2
156	по природе	2	2
157	с этой	5	2
158	в этих	2	2
159	одной стороны	7	2
160	в основном	4	2
161	но это	4	2
162	он не	5	2
163	в какой	6	2
164	такой же	4	2
165	в момент	4	2
166	точку зрения	4	2
167	как на	8	2
168	и потому	3	2
169	может стать	2	2
170	оно не	3	2
171	но не	13	2
172	как это	7	2
173	если же	2	2
174	в себя	4	2
175	нас и	2	2
176	мы можем	7	2
177	до известной	2	2
178	была бы	3	2
179	что слово	2	2
180	могут быть	7	2
181	совпадает с	5	2
182	в чем	5	2
183	между собой	15	2
184	значения и	3	2
185	с одной	7	2
186	выражение в	6	2
187	и самое	2	2
188	относится к	5	2
189	к этому	2	2
190	же самое	12	2
191	между ними	8	2
192	этих двух	4	2
193	и значение	5	2
194	тогда когда	12	2
195	и слово	4	2
196	известной степени	2	2
197	структурой и	2	2
198	но что	2	2
199	но этот	2	2
200	другой стороны	3	2
201	вместе с	19	2
