N	3gram	Ircho_Kome	Problema
1	тем не менее	3	56
2	о том что	7	39
3	в том что	15	37
4	то же самое	3	30
5	в связи с	3	29
6	во всяком случае	3	25
7	с точки зрения	6	25
8	с другой стороны	2	25
9	в конце концов	3	23
10	для того чтобы	8	17
11	в то же	11	17
12	до сих пор	12	14
13	в этом случае	2	14
14	в то время	3	12
15	так или иначе	3	12
16	то время как	3	12
17	бы то ни	3	11
18	с одной стороны	4	11
19	более или менее	2	10
20	вместе с тем	5	10
21	не говоря уже	2	9
22	говоря уже о	2	7
23	с самого начала	5	7
24	хотя и не	2	7
25	к тому же	9	7
26	того же автора	2	7
27	о том как	5	7
28	и тем более	2	6
29	то ни было	3	6
30	в самом деле	13	6
31	в этом отношении	2	6
32	имеем в виду	2	5
33	в чем не	2	5
34	в первую очередь	2	5
35	на этот раз	2	5
36	ни в чем	2	5
37	в какой мере	2	5
38	в том числе	2	5
39	там и здесь	3	4
40	именно потому что	2	4
41	но все же	3	4
42	то обстоятельство что	3	4
43	само собой разумеется	3	4
44	том числе и	2	4
45	до тех пор	5	4
46	у того же	4	4
47	равно как и	3	4
48	после того как	3	3
49	если бы он	3	3
50	и в то	2	3
51	что и в	2	3
52	в чем же	2	3
53	в отличие от	3	3
54	одной стороны и	2	3
55	по сравнению с	3	3
56	мы имеем в	2	2
57	каждой из них	2	2
58	по отношению к	4	2
59	в основе своей	2	2
60	в последние десятилетия	2	2
61	и там и	3	2
62	что он не	3	2
63	у меня в	2	2
64	и в самом	7	2
65	и все же	2	2
66	в том же	2	2
67	так как он	2	2
68	в свою очередь	10	2
69	и тот же	3	2
70	и т п	4	2
71	нет и речи	3	2
72	один и тот	3	2
73	в каждом из	2	2
