N	2gram	Tiupa_Vved	VeschiIm
1	не есть	2	79
2	и не	24	57
3	не только	32	48
4	то что	9	48
5	не может	14	46
6	и в	23	45
7	и есть	2	40
8	может быть	25	39
9	а не	31	37
10	что я	2	26
11	потому что	7	25
12	было бы	4	24
13	не просто	2	24
14	в себе	15	23
15	что она	2	23
16	по себе	2	23
17	только в	9	23
18	и что	2	22
19	что такое	23	20
20	как бы	8	20
21	и ее	2	19
22	что это	2	19
23	но и	31	19
24	что же	6	19
25	все же	10	18
26	в этом	27	18
27	и это	2	17
28	прежде всего	11	17
29	что мы	2	17
30	того что	7	16
31	таким образом	6	16
32	как раз	5	16
33	в том	21	15
34	как и	21	15
35	в ней	5	15
36	уже не	7	15
37	не в	12	14
38	но это	4	14
39	том что	16	13
40	и для	8	13
41	в самом	6	13
42	ничего не	3	12
43	совершенно не	2	12
44	что в	6	12
45	что и	6	12
46	что они	2	12
47	если она	2	12
48	и как	2	12
49	то же	8	12
50	еще не	8	12
51	и даже	3	12
52	о том	7	12
53	и с	2	12
54	еще и	2	11
55	в то	5	11
56	не менее	4	11
57	что не	2	11
58	себя в	4	11
59	тем не	3	11
60	также и	6	11
61	и только	2	11
62	в чем	2	10
63	с ее	3	10
64	ясно что	2	10
65	это не	7	9
66	со стороны	15	9
67	в своем	9	9
68	то и	2	9
69	ли это	2	9
70	бы и	4	9
71	хотя бы	2	9
72	бы в	4	9
73	в результате	5	9
74	у нас	4	9
75	на то	3	9
76	но не	9	9
77	ни с	2	9
78	говорить о	5	9
79	и его	9	9
80	с ним	3	9
81	и потому	2	8
82	указывает на	2	8
83	что он	2	8
84	но в	14	8
85	мы не	6	8
86	все это	3	8
87	должна быть	3	8
88	можно сказать	6	8
89	мы имеем	8	8
90	если бы	10	8
91	для него	5	8
92	не с	4	8
93	с другой	10	8
94	отнюдь не	14	8
95	и тем	3	7
96	самом деле	6	7
97	а в	15	7
98	в сущности	3	7
99	никак не	2	7
100	или не	3	7
101	слова и	3	7
102	тем что	2	7
103	ни от	2	7
104	оно не	2	7
105	мог бы	2	7
106	никогда не	6	6
107	для себя	2	6
108	и все	8	6
109	в нем	9	6
110	в разных	2	6
111	в своей	10	6
112	ее не	2	6
113	как мы	5	6
114	одна из	5	6
115	в данном	22	6
116	можно было	2	6
117	все равно	2	6
118	быть только	2	6
119	или иначе	2	6
120	в сфере	7	6
121	их в	3	6
122	несмотря на	2	6
123	в той	5	6
124	жизни и	8	6
125	в одном	5	6
126	да и	3	5
127	должен быть	3	5
128	свою очередь	5	5
129	имеет смысл	2	5
130	вместе с	2	5
131	как это	2	5
132	точка зрения	3	5
133	один из	3	5
134	на себя	5	5
135	в его	9	5
136	о ней	4	5
137	хотя и	10	5
138	быть и	2	5
