N	3gram	Tiupa_Teor	Freidism
1	с точки зрения	3	15
2	не может быть	5	14
3	по отношению к	10	11
4	в самом деле	2	10
5	в том что	10	9
6	в то же	8	6
7	может быть и	2	6
8	то же время	8	6
9	можно сказать что	3	5
10	в таком случае	2	4
11	тем не менее	3	4
12	во внешнем мире	2	4
13	не могут быть	2	4
14	в данном случае	5	4
15	в свою очередь	3	4
16	внутренней и внешней	2	3
17	бы то ни	2	3
18	но в то	2	3
19	для того чтобы	5	3
20	в конечном счете	6	3
21	то ни было	2	2
22	а с другой	2	2
23	том что он	2	2
24	к тому что	2	2
25	в отличие от	7	2
26	с одной стороны	3	2
27	в этом смысле	3	2
