N	3gram	Bakhtin_Fr	Literetu
1	в то же	14	21
2	то же время	14	21
3	в том что	8	21
4	с одной стороны	2	12
5	в данном случае	4	11
6	в отличие от	3	11
7	не может быть	4	11
8	о том что	5	10
9	в этом отношении	7	10
10	с точки зрения	5	8
11	с другой стороны	2	7
12	в том числе	6	6
13	к тому же	3	6
14	подобно тому как	2	6
15	в связи с	5	5
16	и прежде всего	4	4
17	то же самое	3	3
18	на самом деле	4	3
19	в самом деле	2	3
20	том числе и	3	3
21	для того чтобы	8	2
22	имеется в виду	2	2
23	между тем как	2	2
24	в другом месте	3	2
25	но и в	3	2
26	можно было бы	2	2
27	вместе с тем	2	2
28	дело в том	4	2
29	в самом начале	2	2
