N	3gram	Tiupa_Vved	KulturaY
1	в том что	10	33
2	в самом деле	2	29
3	можно было бы	2	25
4	во всяком случае	3	19
5	тем не менее	3	19
6	с другой стороны	2	17
7	в том чтобы	2	14
8	по отношению к	11	13
9	в этом отношении	7	11
10	не может быть	6	11
11	о том что	6	10
12	на самом деле	4	8
13	не в том	3	8
14	не только в	3	8
15	а с другой	3	7
16	в той мере	2	7
17	той мере в	2	7
18	мере в какой	2	7
19	с одной стороны	9	7
20	в свою очередь	5	7
21	в то же	5	6
22	той или иной	4	6
23	к тому же	6	6
24	то же время	4	6
25	в отличие от	11	6
26	речь идет о	3	5
27	что же касается	2	5
28	более или менее	2	5
29	в соответствии с	8	5
30	в данном случае	15	5
31	как мы видели	3	5
32	в конечном счете	2	4
33	на то что	2	4
34	состоит в том	2	4
35	а в том	3	4
36	в противном случае	2	3
37	так и не	4	2
38	друг от друга	2	2
39	а то и	2	2
40	хотя и не	2	2
41	едва ли не	2	2
42	может быть не	3	2
43	у нас нет	2	2
44	по природе своей	2	2
45	по большей части	4	2
