N	2gram	Voloshinov	VerxiiNi
1	и в	12	26
2	таким образом	12	22
3	в этом	4	15
4	вместе с	2	15
5	точки зрения	14	13
6	как бы	13	12
7	в том	6	11
8	не только	4	10
9	и с	3	10
10	может быть	14	10
11	что в	2	9
12	так как	9	9
13	но и	3	9
14	но не	2	8
15	с другой	4	8
16	и не	10	8
17	как на	2	8
18	но все	2	7
19	к нему	4	7
20	одной стороны	2	7
21	то что	5	7
22	с одной	2	7
23	но в	5	7
24	том что	5	7
25	в отношении	2	6
26	все же	4	6
27	о том	3	6
28	в себе	3	6
29	что и	2	6
30	с точки	2	6
31	все эти	3	6
32	все это	3	6
33	и потому	2	6
34	так и	4	6
35	никогда не	5	5
36	и для	3	5
37	так же	3	5
38	и к	4	5
39	отношение к	4	5
40	в его	2	5
41	а не	5	5
42	тому же	2	5
43	сих пор	3	5
44	до сих	3	5
45	с другими	2	4
46	в котором	3	4
47	в самом	4	4
48	в нем	6	4
49	не может	16	4
50	то же	5	4
51	и что	2	4
52	и по	3	4
53	в этих	2	4
54	только в	6	4
55	он не	2	4
56	в то	2	4
57	в своем	2	3
58	к ним	2	3
59	уже не	4	3
60	хотя бы	5	3
61	к этому	2	3
62	тем не	3	3
63	если бы	9	3
64	и те	2	3
65	при этом	6	3
66	не менее	3	3
67	когда он	3	3
68	с этой	2	3
69	и другие	2	3
70	ясно что	3	3
71	можно сказать	5	3
72	отношению к	11	3
73	того что	3	3
74	для него	3	3
75	сказать что	7	2
76	этой точки	3	2
77	и является	4	2
78	из этого	3	2
79	общего с	2	2
80	творца и	7	2
81	и проч	3	2
82	относится к	2	2
83	мы имеем	2	2
84	в процессе	6	2
85	мы можем	2	2
86	связь с	2	2
87	между тем	3	2
88	к его	2	2
89	конечно не	3	2
90	тогда когда	2	2
91	те же	2	2
92	что мы	5	2
93	в них	3	2
94	и на	4	2
95	и здесь	2	2
96	уже в	2	2
97	еще не	3	2
98	жизни и	4	2
99	так называемой	3	2
100	не в	4	2
101	из него	2	2
102	и наконец	3	2
103	то ни	3	2
104	ни было	4	2
105	перестает быть	2	2
106	на все	2	2
107	и все	2	2
108	героев и	2	2
109	в виду	5	2
110	не к	3	2
111	прежде всего	8	2
112	бы то	3	2
113	с его	2	2
114	же самое	2	2
115	быть и	3	2
