N	2gram	Savitsky_E	KulturaY
1	т е	9	102
2	и в	37	84
3	в том	11	74
4	потому что	3	68
5	не только	18	60
6	точки зрения	23	59
7	в этом	12	57
8	было бы	8	53
9	и не	14	52
10	может быть	6	47
11	том что	6	44
12	того чтобы	6	44
13	что в	21	44
14	для того	6	41
15	в самом	4	41
16	хотя бы	15	37
17	так как	7	36
18	с точки	17	36
19	в области	11	34
20	таким образом	2	33
21	а не	2	33
22	можно было	3	32
23	если бы	2	32
24	не в	5	30
25	прежде всего	9	30
26	в его	2	30
27	того что	7	28
28	в силу	2	26
29	не может	9	25
30	то что	6	25
31	вовсе не	6	25
32	вопрос о	4	24
33	с другой	7	24
34	так и	10	23
35	то же	15	23
36	только в	9	23
37	иными словами	4	22
38	во всяком	3	20
39	но и	14	20
40	по себе	4	20
41	и что	2	20
42	но в	14	19
43	тем что	3	19
44	о том	3	19
45	всяком случае	3	19
46	что же	2	19
47	между тем	8	18
48	в качестве	14	18
49	к тому	8	18
50	с тем	3	18
51	как бы	6	18
52	и с	2	18
53	вместе с	2	18
54	как это	4	17
55	что это	2	17
56	другой стороны	2	17
57	в той	5	17
58	что и	3	16
59	но не	5	16
60	и тем	3	15
61	а в	2	15
62	в данном	3	15
63	целый ряд	2	15
64	именно в	4	15
65	как на	3	15
66	в них	3	14
67	хотя и	2	14
68	как мы	5	14
69	сказать что	4	14
70	также и	7	14
71	и на	6	14
72	в ней	4	14
73	не могут	2	13
74	между прочим	7	13
75	в пределах	25	13
76	в этой	2	13
77	в которых	3	13
78	для нас	4	13
79	там где	3	13
80	этот вопрос	2	12
81	с этой	6	12
82	как в	3	12
83	того же	3	12
84	тогда когда	2	12
85	могут быть	2	12
86	в результате	3	12
87	но также	2	12
88	или иной	4	11
89	в их	11	11
90	в своем	14	11
91	должна быть	2	11
92	этом отношении	3	11
93	и то	2	11
94	в какой	2	11
95	и если	2	11
96	он не	2	11
97	в каком	4	10
98	тем самым	5	10
99	так же	9	10
100	в то	16	10
101	со стороны	5	10
102	в общем	3	10
103	как и	7	10
104	бы и	3	10
105	того или	4	10
106	с этим	2	10
107	тем более	4	10
108	бы в	2	10
109	несмотря на	4	10
110	этом смысле	3	10
111	очевидно что	3	9
112	что все	2	9
113	и для	3	9
114	в своей	8	9
115	можно сказать	4	9
116	или иного	4	9
117	а также	7	9
118	не имеет	4	9
119	на то	6	9
120	в частности	5	8
121	мы видели	3	8
122	в своих	2	8
123	что на	2	8
124	не говоря	2	8
125	с одной	8	8
126	само по	4	8
127	независимо от	4	8
128	по преимуществу	2	8
129	и как	2	8
130	в этих	2	8
131	заключается в	2	8
132	далеко не	2	8
133	не есть	2	8
134	отнюдь не	9	8
135	в таком	3	8
136	же в	2	8
137	в свою	3	7
138	идет о	3	7
139	в процессе	4	7
140	свою очередь	2	7
141	и потому	5	7
142	она не	2	7
143	одной стороны	8	7
144	в истории	2	7
145	а именно	2	7
146	и более	2	7
147	есть в	2	7
148	на этот	2	7
149	столь же	5	7
150	в котором	2	7
151	когда он	3	7
152	в одном	2	7
153	даже в	4	6
154	данном случае	2	6
155	в себе	9	6
156	говоря уже	2	6
157	от этого	5	6
158	можно ли	3	6
159	на себя	3	6
160	этой точки	5	6
161	в ее	8	6
162	той или	4	6
163	не на	4	6
164	что эти	2	6
165	на язык	2	6
166	как будто	2	6
167	что если	2	6
168	мы не	4	6
169	или в	2	6
170	же время	14	6
171	главным образом	2	6
172	в сфере	3	6
173	на основе	2	6
174	никогда не	3	5
175	в отношении	32	5
176	как же	2	5
177	и к	3	5
178	мы должны	2	5
179	но если	5	5
180	по своему	7	5
181	всего лишь	3	5
182	но как	2	5
183	то не	2	5
184	отметить что	3	5
185	и от	3	5
186	из того	2	5
187	время в	3	5
188	и еще	2	5
189	и даже	6	5
190	как не	2	5
191	еще более	2	5
192	есть не	2	5
193	это так	3	5
194	и того	2	5
195	точка зрения	2	5
196	и только	3	5
197	но с	2	5
198	чем в	4	5
199	в виде	5	4
200	связано с	3	4
201	всего в	2	4
202	на месте	2	4
203	и все	2	4
204	к нему	2	4
205	мог бы	2	4
206	во втором	2	4
207	между ними	2	4
208	в известном	3	4
209	которое в	2	4
210	же как	5	4
211	иначе говоря	2	4
212	в известных	2	4
213	уже и	3	4
214	представление о	2	4
215	то в	4	4
216	по сравнению	2	4
217	утверждать что	2	4
218	ли это	3	4
219	в данной	3	4
220	и по	5	4
221	мы можем	3	4
222	такой же	2	4
223	ни на	3	4
224	не к	2	4
225	в смысле	9	4
226	но на	3	4
227	из них	3	4
228	поскольку она	2	4
229	в стороне	3	4
230	не более	3	4
231	но еще	2	4
232	не дает	3	4
233	культурной жизни	4	3
234	помнить что	2	3
235	во многих	4	3
236	наряду с	2	3
237	в россии	5	3
238	и мы	3	3
239	на долю	3	3
240	и со	3	3
241	себе в	3	3
242	от них	3	3
243	сплошь и	2	3
244	случаях когда	2	3
245	к ним	3	3
246	тому чтобы	2	3
247	в сторону	2	3
248	потребность в	3	3
249	большинстве случаев	3	3
250	на них	2	3
251	и рядом	2	3
252	именно к	2	3
253	следовало бы	2	3
254	если в	2	3
255	меньшей степени	2	3
256	известном смысле	3	3
257	не нужно	2	3
258	можно считать	3	3
259	также в	2	3
260	по своим	3	3
261	в других	2	3
262	более чем	2	3
263	но даже	4	3
264	именно потому	2	3
265	и сейчас	2	3
266	в большинстве	2	3
267	заметить что	2	3
268	на своем	3	3
269	то ни	4	3
270	в некоторых	2	3
271	с большой	2	3
272	бы то	4	3
273	европе и	3	2
274	лежат в	4	2
275	все более	9	2
276	начиная с	2	2
277	во все	3	2
278	из всех	3	2
279	или поздно	2	2
280	ними и	2	2
281	и существенно	2	2
282	наше внимание	2	2
283	нужно иметь	2	2
284	же к	2	2
285	нас к	2	2
286	себе не	3	2
287	одном из	2	2
288	друг от	2	2
289	одной из	5	2
290	в деле	3	2
291	ведь и	2	2
292	то нельзя	2	2
293	с а	2	2
294	культуры в	4	2
295	не из	3	2
296	к такой	2	2
297	рано или	2	2
298	течением времени	2	2
299	как оно	2	2
300	экономической жизни	4	2
301	для них	2	2
302	жизни и	2	2
303	думать что	8	2
304	в применении	3	2
305	тем меньше	2	2
306	ее в	3	2
307	вслед за	6	2
308	большей части	2	2
309	культуры но	2	2
310	отношений между	2	2
311	имеет в	2	2
312	меньше чем	2	2
313	но нужно	2	2
314	с другими	2	2
315	исключительно в	2	2
316	ныне в	2	2
317	дело в	3	2
318	этот процесс	2	2
319	только к	2	2
320	применении к	3	2
321	имеет место	2	2
322	ее от	2	2
323	является ли	3	2
324	с течением	2	2
325	не является	3	2
326	ни было	4	2
327	поскольку речь	2	2
328	к настоящему	3	2
329	данной области	2	2
330	не означает	2	2
331	в известной	3	2
332	отношении к	15	2
333	эти последние	2	2
334	вообще не	3	2
335	и творчества	2	2
336	не будет	3	2
337	бы совершенно	2	2
338	от друга	2	2
339	во многом	2	2
340	даже при	2	2
341	и прежде	3	2
342	не можем	2	2
343	и теперь	2	2
344	в случае	2	2
345	поскольку они	2	2
346	поскольку он	2	2
347	сравнению с	2	2
348	а тем	2	2
