N	2gram	Trubetskoy	Komedia
1	и в	14	77
2	и не	19	47
3	в том	17	44
4	том что	9	42
5	о том	7	33
6	но и	10	32
7	может быть	9	30
8	таким образом	11	29
9	из них	3	29
10	в то	10	28
11	в этом	17	27
12	потому что	5	27
13	что он	6	26
14	к тому	7	26
15	не только	9	25
16	вместе с	4	25
17	так как	4	24
18	как и	4	23
19	ни в	2	23
20	что в	4	23
21	что и	3	22
22	если бы	6	22
23	в самом	3	22
24	в конце	3	21
25	а в	5	21
26	то же	11	21
27	ясно что	2	21
28	в его	4	20
29	со стороны	4	19
30	во время	2	19
31	в этой	4	18
32	и т	3	17
33	тем что	3	17
34	еще не	3	17
35	в нем	5	17
36	же время	10	17
37	все же	4	16
38	у него	2	16
39	при этом	5	16
40	сих пор	5	16
41	он не	5	16
42	до сих	5	16
43	его в	4	15
44	в своем	6	15
45	не в	4	15
46	точки зрения	11	15
47	между тем	5	15
48	прежде всего	8	15
49	на себя	2	15
50	было бы	5	15
51	и на	5	15
52	к нему	2	14
53	все это	6	14
54	и с	7	14
55	то что	13	13
56	так что	2	13
57	самом деле	7	13
58	но в	2	13
59	того чтобы	8	13
60	мы можем	2	13
61	так же	2	12
62	для того	6	12
63	несмотря на	3	12
64	в качестве	3	12
65	в начале	2	12
66	не может	22	12
67	но не	4	12
68	в котором	2	12
69	из которых	5	12
70	по отношению	2	11
71	в их	4	11
72	в частности	2	11
73	с тем	6	11
74	речь идет	2	11
75	и даже	2	11
76	и для	6	11
77	с ним	2	11
78	к себе	2	10
79	на основании	2	10
80	одной из	3	10
81	в глазах	2	10
82	с этим	2	10
83	как бы	4	10
84	и что	2	10
85	тому что	2	9
86	и по	3	9
87	даже не	2	9
88	в своей	5	9
89	больше чем	2	9
90	все что	4	9
91	друг друга	3	9
92	говорить о	3	9
93	только в	5	9
94	в ней	2	9
95	то ни	4	8
96	место в	2	8
97	то это	3	8
98	связи с	3	8
99	да и	3	8
100	можно было	4	8
101	в течение	2	8
102	что для	3	8
103	если не	2	8
104	не было	3	8
105	во всех	5	8
106	вопрос о	5	7
107	в себе	9	7
108	в другом	3	7
109	и к	6	7
110	и о	2	7
111	в других	2	7
112	но если	3	7
113	и во	3	7
114	что они	3	7
115	во всяком	9	7
116	бы то	4	7
117	если в	6	7
118	из этих	3	7
119	хотя бы	5	7
120	в результате	2	7
121	целый ряд	2	7
122	и вот	2	7
123	в этих	2	7
124	и тот	2	7
125	отнюдь не	7	7
126	конце концов	3	7
127	для нас	2	7
128	всяком случае	6	7
129	за то	2	6
130	в силу	2	6
131	и тем	2	6
132	в области	2	6
133	о которых	3	6
134	на это	2	6
135	и как	3	6
136	как будто	2	6
137	на то	5	6
138	в своих	6	6
139	главным образом	3	6
140	с точки	9	6
141	или в	3	6
142	а не	2	6
143	никогда не	5	5
144	и если	7	5
145	из всех	2	5
146	для всех	6	5
147	по существу	5	5
148	любви к	2	5
149	не так	2	5
150	представить себе	2	5
151	участие в	2	5
152	между собой	5	5
153	признать что	6	5
154	и от	2	5
155	для этого	3	5
156	что это	3	5
157	себя в	4	5
158	в сознании	3	5
159	любовь к	2	5
160	в мире	4	5
161	даже если	2	5
162	отказаться от	4	5
163	от того	4	5
164	у других	2	5
165	именно в	3	5
166	приводит к	4	5
167	жизни и	4	5
168	конечно не	5	5
169	друг другу	2	5
170	не о	2	4
171	видеть в	2	4
172	в положение	2	4
173	или менее	4	4
174	там и	2	4
175	что же	4	4
176	что с	2	4
177	одна из	3	4
178	из этого	3	4
179	чтобы в	2	4
180	том чтобы	3	4
181	их в	2	4
182	в последние	5	4
183	и потому	3	3
184	не могут	4	3
185	путь к	4	3
186	указывает на	2	3
187	от него	2	3
188	нисколько не	2	3
189	приходит к	3	3
190	обеих сторон	2	3
191	их к	2	3
192	для себя	2	3
193	остается в	2	3
194	если они	2	3
195	том же	2	3
196	друг от	2	3
197	только на	2	3
198	а с	2	3
199	она не	2	3
200	к этой	4	3
201	с другом	14	3
202	его и	2	3
203	состоит в	2	3
204	людей и	2	3
205	надо признать	3	3
206	идет речь	4	3
207	таким же	3	3
208	по этому	2	3
209	для них	3	3
210	в виде	3	3
211	ли это	4	3
212	это в	2	3
213	друг с	14	3
214	пути к	2	3
215	только для	2	3
216	совершенно не	2	3
217	и более	2	3
218	отношения к	2	3
219	более или	4	3
220	в большинстве	3	3
221	речь шла	2	3
222	по себе	2	3
223	всю свою	2	3
224	разумеется что	2	3
225	является не	2	3
226	в таком	2	3
227	и есть	2	3
228	как на	8	3
229	во всем	4	3
230	не к	2	3
231	от друга	2	3
232	тем самым	2	2
233	помнить что	2	2
234	ни одна	3	2
235	собой и	3	2
236	одному из	2	2
237	бы его	2	2
238	это только	2	2
239	общественной жизни	2	2
240	и при	6	2
241	этого не	2	2
242	того что	3	2
243	время когда	2	2
244	что все	3	2
245	к вопросу	4	2
246	европейской культуры	2	2
247	и те	2	2
248	большинстве случаев	2	2
249	точно так	2	2
250	себя от	3	2
251	от своей	2	2
252	все эти	2	2
253	считает себя	2	2
254	себя и	5	2
255	в положении	3	2
256	должна быть	2	2
257	этом случае	3	2
258	к соединению	4	2
259	они будут	2	2
260	то в	3	2
261	к которой	6	2
262	но это	2	2
263	только с	2	2
264	о котором	3	2
265	этот человек	2	2
266	в порядке	2	2
267	же образом	2	2
268	на земле	4	2
269	жизни в	5	2
270	отношении к	2	2
271	не должен	2	2
272	для него	6	2
273	что только	2	2
274	чтобы понять	2	2
275	понять что	2	2
276	и является	2	2
277	этот вопрос	2	2
278	ее в	2	2
279	принадлежат к	2	2
280	не будет	7	2
281	за нее	2	2
282	ко всем	3	2
283	в лучшем	3	2
284	сами эти	2	2
285	которой он	4	2
286	сводится к	3	2
287	бы ни	2	2
288	мы уже	2	2
289	и только	5	2
290	себя на	2	2
291	именно на	2	2
292	если же	2	2
