N	2gram	Bakhtin_Pr	FransuaR
1	и в	38	367
2	то есть	46	209
3	в этом	15	112
4	и не	42	101
5	таким образом	10	100
6	и его	16	99
7	в его	43	98
8	прежде всего	13	92
9	не только	9	87
10	но и	9	84
11	как бы	22	82
12	все эти	5	79
13	вовсе не	2	77
14	в романе	4	77
15	как и	7	76
16	в нем	15	75
17	но в	4	75
18	и др	8	72
19	и на	3	72
20	в том	8	71
21	как мы	7	71
22	то же	5	66
23	и все	3	66
24	так и	5	65
25	в них	5	65
26	и с	17	64
27	в то	4	63
28	все это	3	62
29	во всех	11	62
30	же время	3	55
31	что в	7	52
32	в своем	5	51
33	только в	13	48
34	том что	3	45
35	здесь в	2	41
36	то что	8	41
37	в самом	7	38
38	точки зрения	8	37
39	в ней	4	37
40	с его	2	36
41	может быть	26	35
42	о том	4	35
43	сказать что	4	34
44	и даже	3	34
45	в себе	4	34
46	рядом с	5	32
47	он не	3	32
48	в своей	7	31
49	связаны с	2	31
50	никогда не	5	30
51	и потому	4	30
52	в этих	2	29
53	не может	27	29
54	еще не	7	29
55	его в	9	29
56	не в	7	29
57	при этом	5	29
58	в особенности	2	29
59	связи с	2	29
60	что он	2	29
61	в основе	5	28
62	также и	3	28
63	и к	3	28
64	и другие	2	27
65	все же	6	27
66	кроме того	3	26
67	все они	5	26
68	на самом	4	25
69	с помощью	7	25
70	в области	11	25
71	но это	3	25
72	отношение к	10	24
73	того чтобы	2	24
74	в ее	4	24
75	и от	3	24
76	в частности	2	24
77	например в	3	24
78	но не	12	24
79	в большинстве	5	24
80	как в	4	24
81	и у	2	24
82	и для	11	23
83	это не	5	23
84	в их	10	23
85	с ним	5	23
86	и здесь	2	23
87	к нему	10	23
88	большинстве случаев	5	23
89	форм и	2	22
90	и о	5	22
91	связь с	3	22
92	и во	2	22
93	а в	6	22
94	что и	2	22
95	там где	6	22
96	и других	2	22
97	тем что	2	22
98	не было	2	22
99	в своих	2	21
100	в себя	2	21
101	что это	2	21
102	и наконец	6	21
103	ни в	11	21
104	культуры и	3	21
105	и как	8	21
106	одной из	3	20
107	этом отношении	2	20
108	в виду	4	20
109	в значительной	2	20
110	с точки	6	20
111	самом деле	6	20
112	и это	3	20
113	в связи	2	20
114	в форме	4	19
115	в дальнейшем	3	19
116	во всем	2	19
117	хотя и	3	19
118	к этому	2	19
119	было бы	8	19
120	за пределы	12	19
121	далеко не	5	19
122	с другой	7	19
123	со всеми	3	18
124	на этом	2	18
125	на мир	2	18
126	здесь не	4	18
127	но они	4	18
128	одна из	2	18
129	конечно и	4	18
130	в плане	7	17
131	для того	2	17
132	того что	2	17
133	можно было	4	17
134	конечно не	5	17
135	а не	5	17
136	между тем	7	16
137	ничего не	6	16
138	в начале	2	16
139	между ними	4	16
140	в другом	2	16
141	они не	3	16
142	дело в	2	16
143	с одной	3	16
144	в истории	2	15
145	и вообще	2	15
146	в нашем	4	15
147	и прежде	5	15
148	особенно в	2	15
149	от всех	4	15
150	в самой	2	15
151	все что	3	14
152	по существу	2	14
153	в данном	4	14
154	и он	2	14
155	с миром	4	14
156	в более	4	14
157	несмотря на	3	14
158	в чем	2	14
159	в котором	2	14
160	на них	3	14
161	отличие от	5	13
162	что все	2	13
163	в других	4	13
164	здесь нет	2	13
165	или в	2	13
166	в мире	3	13
167	и есть	2	13
168	более того	4	13
169	не на	5	13
170	и эта	2	13
171	в известной	3	13
172	одной стороны	3	13
173	не знает	3	13
174	этот момент	2	12
175	лишь в	2	12
176	у нас	2	12
177	не могут	2	12
178	все то	3	12
179	менее всего	3	12
180	в пределах	6	12
181	и ее	2	12
182	характерно для	2	12
183	но здесь	3	12
184	место в	8	12
185	можно сказать	2	12
186	другой стороны	4	12
187	и более	2	11
188	ни с	2	11
189	на фоне	3	11
190	формы и	5	11
191	и что	2	11
192	другими словами	2	11
193	отметить что	7	11
194	слова и	3	11
195	с ними	4	11
196	той или	2	11
197	в отличие	5	11
198	данном случае	4	10
199	мы здесь	4	10
200	или иной	2	10
201	для понимания	2	10
202	поэтому в	2	10
203	в таких	2	10
204	его как	3	10
205	по отношению	21	10
206	к которому	4	10
207	в целом	3	10
208	да и	3	10
209	что не	4	9
210	первый план	2	9
211	относится к	4	9
212	но как	2	9
213	как это	2	9
214	отношению к	19	9
215	в тех	3	9
216	как к	2	9
217	том же	2	9
218	не имеет	9	9
219	и вся	2	9
220	но конечно	4	9
221	здесь же	2	9
222	известной степени	4	9
223	мы можем	6	9
224	о котором	2	9
225	отношения к	6	9
226	от него	3	8
227	здесь мы	2	8
228	если бы	3	8
229	нуждается в	2	8
230	в него	2	8
231	по поводу	2	8
232	мы увидим	3	8
233	перестает быть	4	8
234	др в	2	8
235	и при	2	8
236	на первый	2	8
237	но с	3	8
238	его целом	5	8
239	оно было	2	8
240	не менее	4	8
241	и те	2	8
242	переходим к	2	8
243	не будем	3	7
244	а как	3	7
245	точка зрения	3	7
246	как нечто	3	7
247	связи и	3	7
248	искусства и	3	7
249	в свою	2	7
250	должен быть	2	7
251	и тела	2	7
252	момент и	2	7
253	мы будем	3	7
254	есть только	2	7
255	его не	2	7
256	в виде	2	7
257	мир в	2	7
258	себя в	2	7
259	здесь все	2	7
260	из которых	2	7
261	в таком	3	7
262	как его	3	7
263	том как	2	7
264	правильного понимания	2	7
265	на него	3	7
266	эти моменты	2	7
267	всех его	4	7
268	и оценки	2	7
269	от них	2	7
270	к себе	2	7
271	но она	2	7
272	узком смысле	2	7
273	в некоторых	2	7
274	нет и	3	7
275	и этим	6	7
276	в искусстве	12	6
277	человеческой культуры	6	6
278	смысле слова	2	6
279	момента в	2	6
280	он может	2	6
281	входит в	8	6
282	что эта	2	6
283	не дает	2	6
284	лица и	2	6
285	могут быть	5	6
286	совершенно не	7	6
287	к его	2	6
288	и которые	2	6
289	события и	2	6
290	не могли	2	6
291	дает нам	2	6
292	можно только	6	6
293	хотя бы	4	6
294	основе своей	3	6
295	не остается	2	6
296	в корне	2	6
297	а иногда	2	6
298	и пр	2	6
299	говорить о	3	6
300	тем самым	4	5
301	и конец	2	5
302	язык в	2	5
303	к своему	2	5
304	быть только	5	5
305	должна быть	4	5
306	начало и	3	5
307	проникает в	2	5
308	из важнейших	3	5
309	и весь	2	5
310	нами выше	2	5
311	можно говорить	2	5
312	не вполне	2	5
313	не является	3	5
314	чем в	2	5
315	есть не	2	5
316	в произведении	4	5
317	в едином	2	5
318	с другими	3	5
319	должно быть	5	5
320	ни было	3	5
321	и искусства	2	5
322	так называемый	2	5
323	слова в	7	5
324	форму и	2	5
325	и только	4	5
326	же самое	2	5
327	в слове	3	5
328	на основе	6	5
329	бы не	2	5
330	без всякой	2	5
331	изобразительных искусствах	2	5
332	себя и	3	5
333	в применении	3	5
334	входят в	3	5
335	в строгом	2	5
336	применении к	3	5
337	вообще не	7	5
338	раз и	2	5
339	дано в	3	5
340	этих явлений	2	5
341	не во	2	5
342	в изобразительных	2	5
343	слово в	2	5
344	мы в	3	5
345	независимо от	13	5
346	мы имеем	2	5
347	значение имеет	3	5
348	человека в	2	5
349	к миру	3	5
350	носит чисто	2	5
351	не к	6	5
352	на то	2	5
353	на границах	5	5
354	в область	3	4
355	не нуждается	2	4
356	в каждом	2	4
357	он должен	2	4
358	действительности и	3	4
359	значение для	3	4
360	все моменты	2	4
361	я не	2	4
362	дело с	6	4
363	только его	3	4
364	представляется нам	2	4
365	дело идет	2	4
366	языка но	2	4
367	и отдельных	2	4
368	их и	2	4
369	и именно	2	4
370	природу и	3	4
371	находит свое	2	4
372	о которых	2	4
373	строгом смысле	2	4
374	которых мы	4	4
375	оно не	3	4
376	имеет дело	9	4
377	и становится	7	4
378	и тем	3	4
