N	2gram	Bakhtin_Fr	VelikijI
1	и не	34	20
2	и в	105	16
3	так как	11	9
4	то что	7	9
5	еще не	8	8
6	в истории	5	8
7	и потому	14	7
8	на земле	3	7
9	что они	2	7
10	человека и	4	6
11	как бы	33	5
12	но и	20	5
13	все это	16	5
14	хотя и	4	5
15	того что	3	5
16	и все	7	4
17	как и	15	4
18	потому что	6	4
19	все что	2	4
20	в нем	16	4
21	в ней	7	4
22	что не	3	4
23	что мы	2	4
24	в его	24	4
25	в этом	22	4
26	что он	5	4
27	так и	16	4
28	никогда не	11	3
29	превращается в	6	3
30	в жизни	7	3
31	что в	4	3
32	в том	17	3
33	и для	3	3
34	но в	16	3
35	к тому	3	3
36	их в	3	3
37	нет ничего	3	3
38	они в	2	3
39	но это	5	3
40	оно не	2	3
41	хотя бы	2	3
42	в своей	8	3
43	во всех	13	3
44	их от	2	3
45	в конце	3	3
46	за ним	2	3
47	в них	13	3
48	жизни и	14	3
49	что и	2	3
50	не было	3	3
51	лишь в	4	3
52	не в	4	3
53	все эти	15	3
54	в этих	6	3
55	в чем	2	3
56	тот же	4	3
57	с его	9	3
58	да и	5	2
59	одна из	5	2
60	но не	7	2
61	нет и	2	2
62	и это	3	2
63	это не	4	2
64	ее в	2	2
65	не только	24	2
66	не могут	4	2
67	а в	4	2
68	том что	9	2
69	мир и	3	2
70	истории и	2	2
71	его к	2	2
72	и во	6	2
73	и люди	2	2
74	от него	2	2
75	во всяком	2	2
76	уже не	3	2
77	было еще	2	2
78	могут быть	4	2
79	не к	2	2
80	в духе	9	2
81	один из	5	2
82	для них	2	2
83	того чтобы	3	2
84	мира в	3	2
85	духа и	3	2
86	тем что	5	2
87	конечно не	2	2
88	земли и	5	2
89	можно было	4	2
90	только в	16	2
91	и сам	2	2
92	и за	2	2
93	мир от	2	2
94	в форме	6	2
95	и над	4	2
96	для нас	5	2
97	в себя	9	2
98	людей и	2	2
99	прежде всего	26	2
100	с ним	6	2
101	между тем	5	2
102	мы и	4	2
103	для него	12	2
