N	2gram	Losev_Prob	Tragedij
1	и в	48	18
2	в романе	2	10
3	в году	9	9
4	в этом	31	9
5	не только	28	8
6	и не	29	7
7	он сам	3	7
8	и на	9	7
9	как бы	10	7
10	и с	10	7
11	может быть	11	7
12	что он	12	6
13	но в	17	6
14	и его	11	6
15	в образе	2	6
16	у него	13	6
17	несмотря на	7	5
18	у достоевского	4	5
19	что это	4	5
20	все же	12	5
21	это не	8	5
22	то же	6	5
23	как и	10	5
24	в дальнейшем	7	5
25	так и	15	5
26	не может	6	5
27	в то	6	5
28	что в	12	4
29	еще не	4	4
30	но и	21	4
31	прежде всего	15	4
32	об этом	11	4
33	том что	29	4
34	в этой	14	4
35	и что	9	4
36	так же	7	4
37	и все	12	4
38	все это	8	4
39	в нем	8	4
40	то что	26	4
41	но это	7	4
42	я не	3	4
43	и даже	24	4
44	в себе	7	4
45	этот образ	3	4
46	один из	2	3
47	к людям	5	3
48	и как	10	3
49	уже в	4	3
50	тем самым	2	3
51	iii в	4	3
52	к нему	3	3
53	в своем	16	3
54	при этом	6	3
55	в его	19	3
56	все эти	12	3
57	мог бы	2	3
58	и он	5	3
59	отнюдь не	14	3
60	о чем	2	3
61	и сам	5	3
62	как будто	9	3
63	как в	3	3
64	как это	5	3
65	жизнь и	6	3
66	для него	2	3
67	то есть	38	3
68	в конце	10	3
69	с ним	4	3
70	никогда не	7	2
71	в рассказе	2	2
72	в самом	7	2
73	и то	6	2
74	но все	6	2
75	данном случае	5	2
76	по поводу	2	2
77	до конца	4	2
78	с тем	7	2
79	даже если	2	2
80	точно так	4	2
81	тем что	2	2
82	перед нами	14	2
83	вопрос о	2	2
84	в одном	6	2
85	любви и	4	2
86	его в	9	2
87	не имеет	3	2
88	в виде	25	2
89	раз и	2	2
90	ничего не	3	2
91	то и	7	2
92	в силах	3	2
93	в данном	6	2
94	бросается в	3	2
95	не могут	3	2
96	в ее	6	2
97	но эта	2	2
98	к тому	7	2
99	а как	2	2
100	говорит о	9	2
101	о том	17	2
102	что и	8	2
103	ни в	17	2
104	тут же	7	2
105	не в	16	2
106	это был	3	2
107	это уже	4	2
108	потому что	21	2
109	вместе со	2	2
110	что этот	6	2
111	по словам	2	2
112	не просто	12	2
113	в частности	5	2
114	только о	3	2
115	в таком	4	2
116	так что	18	2
117	он не	4	2
118	и ее	2	2
119	под влиянием	3	2
120	и за	2	2
121	уже не	12	2
122	что она	2	2
123	по мнению	3	2
124	и это	3	2
125	знает что	3	2
126	не так	4	2
127	в том	25	2
128	в глаза	3	2
129	что же?	4	2
130	и до	2	2
131	не за	2	2
132	очень важно	2	2
133	который в	10	2
134	для искусства	3	2
135	не мог	5	2
136	еще в	6	2
137	его за	2	2
138	он и	5	2
139	с его	3	2
140	он был	5	2
141	в это	3	2
142	отношение к	3	2
