N	2gram	Vygotskiy_	RusskieA
1	и в	55	79
2	в том	50	64
3	том что	46	59
4	что в	43	57
5	не только	24	41
6	во время	4	38
7	так как	20	34
8	в этом	30	33
9	и другие	3	33
10	состоит в	3	32
11	как бы	33	31
12	но и	16	31
13	как и	9	28
14	может быть	34	28
15	и на	12	28
16	одна из	6	24
17	и т	12	23
18	о том	24	23
19	с в	2	23
20	при этом	11	22
21	т д	6	21
22	это не	9	20
23	как мы	6	20
24	а в	7	20
25	из них	7	19
26	представляют собой	2	18
27	все это	8	18
28	с тем	10	17
29	потому что	48	17
30	показывает что	3	17
31	то что	69	17
32	об этом	5	17
33	таким образом	35	17
34	вместе с	16	17
35	мы не	8	16
36	один из	9	15
37	или на	2	15
38	будто бы	3	15
39	у нас	7	14
40	мы видели	2	14
41	для нас	9	14
42	в них	7	14
43	как это	16	14
44	и не	19	14
45	и с	3	14
46	и что	45	14
47	так что	8	13
48	к этому	5	13
49	не может	15	13
50	еще не	6	13
51	как в	4	13
52	в которых	4	13
53	в некоторых	2	13
54	в виде	3	12
55	между собой	2	12
56	этом случае	2	12
57	мы имеем	10	12
58	тем что	8	12
59	полагает что	9	12
60	что на	6	11
61	следующим образом	2	11
62	а затем	2	11
63	но это	2	11
64	мы увидим	11	11
65	не имеет	2	11
66	далеко не	4	11
67	его в	2	10
68	и других	2	10
69	так и	6	10
70	по существу	4	10
71	так например	5	10
72	между тем	4	10
73	все же	11	10
74	что и	11	10
75	в течение	2	10
76	том чтобы	7	10
77	представляет собой	2	10
78	или в	6	10
79	данном случае	4	9
80	о чем	4	9
81	но в	7	9
82	к жизни	2	9
83	и все	15	9
84	что они	11	9
85	того как	4	9
86	то же	16	9
87	но не	9	9
88	так же	19	8
89	того что	12	8
90	в данном	4	8
91	того чтобы	43	8
92	их в	4	8
93	же в	3	8
94	связи с	2	8
95	что это	15	8
96	как например	2	8
97	не все	3	8
98	во всех	6	8
99	ее в	2	8
100	для того	45	8
101	в этих	3	8
102	что по	3	8
103	тому как	3	8
