N	3gram	Tiupa_Lite	DiskursI
1	в том что	15	28
2	в отличие от	6	26
3	по отношению к	4	17
4	с одной стороны	8	14
5	не может быть	5	12
6	в данном случае	6	12
7	то же время	12	10
8	о том что	3	9
9	в то же	12	8
10	в этом отношении	5	8
11	состоит в том	8	8
12	по крайней мере	2	6
13	не сводится к	3	6
14	в соответствии с	2	6
15	с точки зрения	4	6
16	в конечном счете	8	6
17	но при этом	2	5
18	в русской литературе	5	5
19	подобно тому как	4	5
20	не только в	4	5
21	несет в себе	2	5
22	с другой стороны	5	5
23	дело в том	2	5
24	в свою очередь	2	5
25	и прежде всего	4	4
26	тем не менее	4	4
27	а с другой	2	4
28	в силу своей	3	4
29	в этом случае	2	4
30	в повестях белкина	2	3
31	при этом в	3	3
32	при всей своей	2	3
33	по аналогии с	3	3
34	мы имеем дело	2	3
35	говоря уже о	2	3
36	в том числе	2	3
37	по этой причине	2	3
38	во всяком случае	2	3
39	не говоря уже	3	3
40	в равной степени	2	3
41	прежде всего в	4	2
42	речь идет о	3	2
43	в хх веке	8	2
44	в е годы	3	2
45	для своего времени	2	2
46	при этом как	3	2
47	только то что	2	2
48	едва ли не	5	2
49	я в мире	3	2
50	только в том	2	2
51	объекта и адресата	2	2
52	и то что	2	2
