N	3gram	Nazirov_Tv	DiskursI
1	в том что	8	28
2	в отличие от	2	26
3	по отношению к	3	17
4	не может быть	2	12
5	в данном случае	2	12
6	то же время	18	10
7	о том что	6	9
8	в то же	19	8
9	и все же	3	7
10	как и в	2	7
11	по крайней мере	4	6
12	в соответствии с	7	6
13	так и в	2	6
14	в конечном счете	4	6
15	в русской литературе	2	5
16	не только в	2	5
17	с другой стороны	2	5
18	дело в том	4	5
19	в свою очередь	2	5
20	тем не менее	2	4
21	можно сказать что	2	4
22	по сути дела	5	4
23	и не может	2	4
24	в наше время	4	4
25	это прежде всего	3	3
26	том что в	3	3
27	во всяком случае	2	3
28	в одной из	4	3
29	сами по себе	2	2
30	никогда не было	2	2
31	с самого начала	3	2
32	едва ли не	2	2
33	и в то	3	2
34	в одном из	2	2
