N	3gram	Voloshinov	Vladivir
1	в том что	9	29
2	о том что	3	22
3	тем не менее	4	18
4	что же касается	3	14
5	во всяком случае	8	12
6	в конце концов	2	11
7	в то же	6	10
8	с точки зрения	15	10
9	не может быть	14	10
10	как раз и	2	9
11	то же время	6	9
12	в этом смысле	2	9
13	а также и	2	8
14	на первый план	4	7
15	том что он	2	6
16	в данном случае	4	6
17	в отличие от	2	6
18	как мы видели	8	6
19	бы то ни	3	5
20	что и в	2	5
21	он не только	2	5
22	сам по себе	4	4
23	можно сказать что	5	4
24	как мы уже	5	4
25	и ни в	2	4
26	к этому времени	2	4
27	в этом отношении	4	4
28	заключается в том	2	4
29	с одной стороны	2	4
30	для того чтобы	3	4
31	с самого начала	5	3
32	ни в каком	2	3
33	только то что	3	3
34	в самом деле	10	3
35	и до конца	4	3
36	а с другой	2	3
37	к тому что	2	3
38	мы знаем что	6	3
39	хотя бы и	2	3
40	на самом же	2	3
41	это вовсе не	4	3
42	самом же деле	2	3
43	в свою очередь	4	3
44	и притом в	3	3
45	и прежде всего	7	2
46	но вместе с	2	2
47	для него только	2	2
48	мы уже знаем	3	2
49	шопенгауэра и гартмана	2	2
50	то обстоятельство что	2	2
51	и тот же	3	2
52	так и в	3	2
53	может быть и	6	2
54	но в то	3	2
55	в этот период	3	2
56	то что мы	2	2
57	до сих пор	3	2
58	в таком случае	4	2
59	но в общем	3	2
60	ни в чем	4	2
61	а следовательно и	2	2
62	и тем не	2	2
63	то ни было	2	2
64	один и тот	3	2
65	это и есть	2	2
