N	3gram	Propp_Isto	Formalny
1	не может быть	4	29
2	и т д	30	19
3	во всяком случае	2	16
4	в связи с	5	16
5	по отношению к	2	12
6	в большинстве случаев	2	9
7	с другой стороны	10	9
8	как мы видели	7	8
9	до сих пор	7	8
10	с одной стороны	2	8
11	в данном случае	6	6
12	смысле этого слова	3	6
13	не только не	2	6
14	в том что	8	6
15	тем не менее	6	4
16	подобно тому как	3	4
17	но и в	2	4
18	но все же	5	4
19	т е в	2	3
20	т е к	2	3
21	друг с другом	2	3
22	мы уже знаем	3	3
23	как мы увидим	2	3
24	мы увидим что	2	3
25	мы имеем в	4	2
26	так же как	7	2
27	что в данном	2	2
28	как и в	2	2
29	не только в	3	2
30	мы видели что	6	2
31	и в других	3	2
32	в этом случае	8	2
33	что и в	3	2
34	только в связи	2	2
