N	2gram	Medvedev_F	OGranits
1	и в	54	13
2	и его	27	12
3	прежде всего	34	9
4	и не	34	8
5	не может	26	8
6	может быть	30	8
7	в его	30	7
8	и пр	30	7
9	и их	13	7
10	точки зрения	21	7
11	не только	14	6
12	социального общения	8	6
13	как бы	10	6
14	таким образом	28	6
15	только в	6	6
16	то что	14	6
17	в поэзии	5	5
18	языка и	13	5
19	все же	8	5
20	с точки	17	5
21	метода в	7	5
22	и эта	2	5
23	но ведь	4	5
24	и наконец	7	5
25	хотя бы	10	5
26	художественного произведения	27	5
27	в процессе	17	5
28	но в	9	4
29	только и	7	4
30	в школе	2	4
31	лишь в	15	4
32	то же	16	4
33	не является	3	4
34	произведения как	3	4
35	в своей	16	4
36	материала в	4	4
37	все это	11	4
38	социальной группы	4	4
39	было бы	10	4
40	художественного общения	2	4
41	вопроса о	2	4
42	мы не	6	4
43	в каждом	3	4
44	на фоне	7	4
45	вполне понятно	2	4
46	никогда не	6	3
47	языка как	11	3
48	и для	5	3
49	слово в	2	3
50	общего с	2	3
51	со всей	3	3
52	и все	9	3
53	материала и	7	3
54	в ее	10	3
55	превращается в	2	3
56	вряд ли	2	3
57	с этим	6	3
58	отношению к	4	3
59	как и	18	3
60	в пределах	13	3
61	не в	16	3
62	в их	16	3
63	в поэтике	3	3
64	говорить о	4	3
65	ничего общего	2	3
66	так как	4	3
67	в себе	4	3
68	поставить вопрос	2	3
69	что в	10	3
70	по отношению	4	3
71	но для	4	3
72	поэтического произведения	10	3
73	самом деле	12	3
74	за пределы	2	3
75	так и	24	3
76	что же	6	3
77	в которой	5	3
78	не как	7	3
79	к одному	2	3
80	в одном	2	3
81	в искусстве	6	3
82	но и	18	3
83	не столько	5	3
84	в самом	17	2
85	могут быть	7	2
86	она является	2	2
87	в этом	39	2
88	в них	4	2
89	и должно	4	2
90	данном случае	2	2
91	и отчасти	6	2
92	в том	17	2
93	тем что	6	2
94	в отношении	3	2
95	несмотря на	2	2
96	в целом	7	2
97	если бы	8	2
98	литературной школы	2	2
99	в произведении	2	2
100	от этого	3	2
101	думать что	4	2
102	о языке	4	2
103	с одной	5	2
104	не имеет	2	2
105	или иного	8	2
106	зависимости от	5	2
107	роль в	2	2
108	и др	8	2
109	ее в	3	2
110	более того	6	2
111	в действительности	3	2
112	с другой	8	2
113	там где	3	2
114	слова и	5	2
115	от всех	5	2
116	социологический метод	5	2
117	а в	11	2
118	и тем	3	2
119	том что	3	2
120	того или	6	2
121	а как	5	2
122	и к	7	2
123	в языке	5	2
124	в связи	11	2
125	с историей	2	2
126	в зависимости	4	2
127	в данном	2	2
128	в общем	8	2
129	не менее	12	2
130	все эти	12	2
131	художественное произведение	8	2
132	к предмету	4	2
133	в области	6	2
134	что эта	2	2
135	так же	5	2
136	что они	4	2
137	формальный метод	19	2
138	и истории	5	2
139	с этой	4	2
140	и может	6	2
141	в своих	3	2
142	и композиции	2	2
143	в нем	25	2
144	не на	3	2
145	истории литературы	18	2
146	при этом	14	2
147	и ее	15	2
148	каждый элемент	4	2
149	форм и	7	2
150	а не	11	2
151	во всей	4	2
152	в ней	15	2
153	общения и	3	2
154	литературного произведения	6	2
155	входит в	8	2
156	еще в	2	2
157	как в	12	2
158	другой стороны	5	2
159	во всем	3	2
160	художественных произведений	5	2
161	и является	3	2
162	чем же	3	2
163	одной стороны	5	2
164	бы в	6	2
165	между тем	4	2
166	в целях	2	2
167	и этот	2	2
168	в чем	2	2
169	связанных с	2	2
170	на язык	5	2
171	беспредметных искусств	2	2
172	в другом	2	2
173	самого начала	2	2
174	вовсе не	18	2
175	в этот	2	2
176	к сожалению	2	2
177	литературное произведение	10	2
178	материалом для	2	2
179	с самого	2	2
180	учение о	4	2
181	подойти к	3	2
182	к тому	6	2
183	в шкловского	3	2
184	с помощью	13	2
185	наконец в	3	2
186	для него	9	2
187	поэтического языка	63	2
188	литературного языка	3	2
189	в структуре	2	2
