N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	4	40
2	то же время	12	20
3	в то же	12	20
4	в связи с	2	16
5	по отношению к	3	12
6	так и в	3	11
7	в самом деле	3	11
8	в этом отношении	3	11
9	в его целом	2	10
10	в большинстве случаев	9	9
11	с другой стороны	2	9
12	как мы видели	4	8
13	до сих пор	3	8
14	с одной стороны	3	8
15	более или менее	3	7
16	в свою очередь	3	7
17	сам по себе	2	6
18	в том что	4	6
19	прежде всего в	4	5
20	в значительной степени	3	5
21	в конце концов	5	4
22	и до конца	4	4
23	но и в	2	4
24	в одной плоскости	3	4
25	в той же	5	4
26	на первый план	2	3
27	но в то	3	3
28	в том числе	4	3
29	начала и до	4	3
30	вместо того чтобы	2	3
31	как мы увидим	2	3
32	и в этой	2	3
33	с начала и	4	3
34	с таким же	2	3
35	том числе и	2	3
36	мы имеем в	2	2
37	все то что	3	2
38	но уже в	2	2
39	и прежде всего	2	2
40	нужно сказать что	3	2
41	в предыдущей главе	2	2
42	в следующей главе	6	2
43	влияние и на	2	2
44	в том или	2	2
45	как и в	2	2
46	как один из	2	2
47	в изобразительных искусствах	3	2
48	и с помощью	2	2
49	в отрыве от	2	2
50	о том как	3	2
51	со всех сторон	2	2
52	том или ином	2	2
53	но и с	2	2
54	дело в том	2	2
55	имеем в виду	2	2
