N	2gram	Losev_Dial	Myslijsy
1	потому что	21	182
2	и в	34	121
3	может быть	30	107
4	в том	17	103
5	то что	25	83
6	в слове	3	78
7	для нас	2	75
8	что в	12	73
9	и не	50	73
10	только в	10	72
11	не только	35	67
12	а не	39	67
13	таким образом	14	64
14	том что	18	59
15	так как	12	59
16	в этом	14	59
17	но и	14	59
18	то же	9	56
19	не в	11	54
20	если бы	10	53
21	в себе	8	53
22	не может	29	52
23	по себе	31	52
24	того что	22	47
25	в нем	7	45
26	было бы	13	45
27	не есть	95	42
28	как и	14	42
29	так что	11	39
30	вместе с	3	39
31	мы не	11	38
32	что и	8	38
33	так и	11	37
34	при этом	7	37
35	как в	2	37
36	тогда когда	9	36
37	что мы	10	36
38	точно так	3	35
39	тем что	5	33
40	и что	21	32
41	а в	3	30
42	но не	3	29
43	что не	8	29
44	вовсе не	18	28
45	есть только	13	28
46	мы можем	3	28
47	для него	4	28
48	могут быть	5	27
49	с этим	4	27
50	и т	41	26
51	то и	5	26
52	не было	6	26
53	независимо от	3	26
54	между собою	3	24
55	в то	9	24
56	с тем	4	23
57	от того	9	23
58	того как	2	23
59	как бы	19	23
60	только тогда	7	22
61	но в	3	22
62	не имеет	18	22
63	с другой	5	22
64	то это	9	22
65	и потому	6	21
66	не менее	11	21
67	в ней	4	20
68	в одном	3	20
69	это не	13	20
70	тем самым	3	19
71	и как	13	19
72	есть уже	2	19
73	с ним	3	19
74	есть не	11	19
75	и то	7	19
76	сказать что	7	19
77	что это	20	19
78	из этих	5	19
79	но это	10	19
80	должно быть	7	19
81	тем не	10	19
82	о том	11	19
83	в каком	9	18
84	для меня	2	18
85	для того	4	18
86	еще не	7	18
87	не могут	6	18
88	в мысли	2	18
89	в самом	9	18
90	что я	3	18
91	в таком	15	18
92	заметить что	2	17
93	в его	6	17
94	по крайней	10	17
95	крайней мере	10	17
96	со стороны	5	17
97	точки зрения	43	17
98	что оно	9	17
99	во всяком	5	17
100	не можем	3	17
101	в своем	7	16
102	к тому	4	16
103	а только	2	16
104	только что	7	16
105	так же	7	16
106	или же	3	16
107	есть нечто	26	16
108	в них	6	16
109	что если	5	16
110	на то	5	16
111	и на	6	16
112	и по	2	15
113	в нас	2	15
114	т д	38	15
115	стало быть	23	15
116	в этих	3	15
117	с одной	4	15
118	думать что	3	15
119	тому как	5	15
120	и тем	3	15
121	что он	18	15
122	прежде всего	20	15
123	быть может	3	15
124	только как	7	15
125	уже не	9	15
126	и без	4	14
127	должны быть	7	14
128	связи с	3	14
129	в истории	7	14
130	само по	8	14
131	то в	5	14
132	в природе	5	14
133	в котором	2	14
134	все же	4	14
135	сам по	6	14
136	когда мы	3	14
137	во всех	2	14
138	же время	5	14
139	что все	16	13
140	и все	17	13
141	зависит от	4	13
142	и может	2	13
143	например в	3	13
144	в смысле	4	13
145	из них	4	13
146	и его	8	13
147	как на	6	13
148	никогда не	9	12
149	от него	2	12
150	человека и	2	12
151	друг друга	3	12
152	и при	4	12
153	одно из	8	12
154	что же	12	12
155	что на	3	12
156	не то	3	12
157	все это	13	12
158	как мы	4	12
159	есть в	4	12
160	тем более	5	12
161	быть только	2	12
162	что такое	25	12
163	оно не	7	12
164	в чем	11	12
165	только потому	4	12
166	хотя и	9	12
167	другой стороны	4	12
168	возможно только	7	12
169	всяком случае	3	12
170	другими словами	8	11
171	и притом	10	11
172	в силу	5	11
173	той же	6	11
174	в первом	2	11
175	и вообще	7	11
176	только на	8	11
177	что для	5	11
178	все что	3	11
179	и если	5	11
180	из себя	3	11
181	его в	2	11
182	если не	3	11
183	к нему	4	11
184	же в	2	11
185	души и	3	11
186	сами по	3	11
187	подобно тому	5	11
188	и это	12	11
189	и только	6	11
190	быть не	3	11
191	и следовательно	2	10
192	и понимания	2	10
193	одной стороны	3	10
194	том как	2	10
195	бы быть	2	10
196	и для	5	10
