N	2gram	Berdyaev_M	Komedia
1	и в	61	77
2	и не	26	47
3	в том	9	44
4	том что	7	42
5	т е	5	33
6	о том	5	33
7	но и	34	32
8	может быть	42	30
9	в то	2	28
10	и его	13	28
11	в этом	34	27
12	потому что	25	27
13	что он	16	26
14	к тому	6	26
15	не только	42	25
16	вместе с	7	25
17	так как	10	24
18	как и	14	23
19	ни в	3	23
20	что в	12	23
21	что и	6	22
22	если бы	5	22
23	в самом	15	22
24	в конце	11	21
25	так и	5	21
26	а в	4	21
27	то же	4	21
28	в его	10	20
29	к этому	3	19
30	в этой	12	18
31	тем что	7	17
32	и здесь	6	17
33	в нем	26	17
34	все же	2	16
35	у него	38	16
36	сих пор	5	16
37	он не	34	16
38	до сих	5	16
39	его в	6	15
40	в своем	17	15
41	не в	16	15
42	точки зрения	6	15
43	между тем	2	15
44	прежде всего	18	15
45	один из	9	15
46	было бы	11	15
47	в которой	8	15
48	и на	9	15
49	к нему	8	14
50	все это	6	14
51	об этом	2	14
52	на протяжении	2	14
53	в свою	5	14
54	и с	6	14
55	о чем	3	13
56	то что	10	13
57	так что	3	13
58	самом деле	2	13
59	но в	12	13
60	в них	5	13
61	того чтобы	4	13
62	что она	5	13
63	так же	5	12
64	для того	4	12
65	уже в	6	12
66	в истории	2	12
67	хотя и	2	12
68	в начале	2	12
69	не может	39	12
70	как в	9	12
71	но не	8	12
72	в котором	9	12
73	по отношению	4	11
74	в их	4	11
75	с тем	10	11
76	то время	2	11
77	к ней	6	11
78	на этот	2	11
79	и для	7	11
80	с ним	5	11
81	в отношении	6	10
82	к себе	3	10
83	отношение к	9	10
84	ничего не	4	10
85	и все	13	10
86	в чем	3	10
87	мы не	2	10
88	он был	18	10
89	с его	6	10
90	с этим	4	10
91	как бы	10	10
92	еще в	4	10
93	более чем	3	10
94	и что	4	10
95	тому что	2	9
96	в образе	4	9
97	и по	4	9
98	в своей	18	9
99	того как	3	9
100	и еще	3	9
101	отношению к	4	9
102	время как	2	9
103	все что	5	9
104	друг друга	12	9
105	только в	7	9
106	в ней	23	9
107	и ее	2	8
108	и других	2	8
109	как он	4	8
110	по своему	3	8
111	место в	4	8
112	не знает	12	8
113	бы в	3	8
114	с этой	4	8
115	что у	3	8
116	в которых	5	8
117	не было	25	8
118	во всех	3	8
119	вопрос о	7	7
120	до конца	16	7
121	в себе	12	7
122	и поэтому	3	7
123	и у	3	7
124	со своим	2	7
125	и к	9	7
126	себе в	3	7
127	но если	4	7
128	и это	16	7
129	и во	5	7
130	что они	4	7
131	если в	2	7
132	хотя бы	8	7
133	целый ряд	2	7
134	и вот	7	7
135	должен был	4	7
136	в этих	6	7
137	и тот	2	7
138	не имеет	7	7
139	конце концов	3	7
140	для нас	3	7
141	не хочет	3	6
142	в виду	2	6
143	всего в	2	6
144	могут быть	2	6
145	что не	3	6
146	в сущности	2	6
147	никто не	3	6
148	нет и	6	6
149	и он	21	6
150	к концу	5	6
151	и как	3	6
152	в середине	4	6
153	человека в	26	6
154	как будто	4	6
155	после того	2	6
156	в своих	4	6
157	еще более	3	6
158	с собой	5	6
159	когда он	3	6
160	которую он	2	6
161	на этом	5	6
162	а не	36	6
163	не мог	6	6
164	никогда не	30	5
165	это не	10	5
166	его на	4	5
167	в каждом	4	5
168	одним из	2	5
169	роль в	2	5
170	и мы	2	5
171	все время	3	5
172	любви к	14	5
173	не так	6	5
174	и без	2	5
175	же не	2	5
176	в ее	3	5
177	и я	5	5
178	только один	3	5
179	сказать что	5	5
180	и от	3	5
181	для этого	3	5
182	что это	5	5
183	себя в	6	5
184	любовь к	10	5
185	в мире	12	5
186	за пределы	5	5
187	также в	2	5
188	мира в	2	5
189	к своему	2	5
190	от того	4	5
191	у других	2	5
192	приводит к	2	5
193	он и	2	5
194	со своей	2	5
195	жизни и	6	5
196	от нее	5	5
197	конечно не	3	5
198	той же	3	5
199	но он	17	5
200	чем в	3	5
201	не о	2	4
202	чтобы не	4	4
203	которые в	2	4
204	к этим	3	4
205	или к	4	4
206	не остается	2	4
207	в духе	6	4
208	в трагедии	3	4
209	по своей	4	4
210	тем как	2	4
211	там и	6	4
212	к человеку	21	4
213	по сравнению	3	4
214	и этим	2	4
215	в более	4	4
216	все его	3	4
217	и там	10	4
218	он так	2	4
219	его не	5	4
220	сравнению с	2	4
221	что же	2	4
222	из самых	9	4
223	на помощь	2	4
224	в основе	4	4
225	одно из	3	4
226	бы он	2	4
227	нет ничего	9	4
228	в свои	2	4
229	его творчества	2	4
