N	2gram	Berdyaev_O	Mirosoze
1	и в	19	97
2	у достоевского	19	94
3	может быть	11	64
4	не только	11	63
5	в этом	12	55
6	но и	13	54
7	он не	7	53
8	а не	11	53
9	в нем	10	49
10	не может	4	49
11	у него	22	47
12	во имя	3	39
13	и не	13	39
14	никогда не	9	38
15	человеческого духа	3	38
16	потому что	9	37
17	не было	9	36
18	не в	11	34
19	и есть	3	33
20	для него	5	31
21	человека в	11	30
22	есть лишь	4	30
23	человеческой природы	20	30
24	не есть	2	30
25	но он	7	30
26	прежде всего	9	29
27	как и	6	29
28	достоевского есть	4	29
29	но в	2	27
30	и он	8	27
31	о человеке	29	26
32	человека и	10	26
33	к человеку	9	26
34	достоевский был	3	25
35	в своей	2	25
36	он был	8	25
37	и все	10	24
38	свободы и	2	24
39	в своем	2	23
40	иван карамазов	2	23
41	что в	4	23
42	что он	3	22
43	творчество достоевского	2	21
44	достоевского и	5	21
45	в самом	5	21
46	в себе	3	20
47	достоевский не	4	20
48	отношение к	5	20
49	до глубины	2	19
50	до конца	7	19
51	в россии	5	19
52	как бы	3	19
53	человек не	7	19
54	ивана карамазова	7	18
55	великий инквизитор	8	18
56	в его	7	18
57	и потому	2	17
58	того что	3	17
59	достоевского в	3	16
60	в том	5	16
61	том что	2	16
62	то что	5	16
63	было бы	3	16
64	на земле	4	16
65	для достоевского	5	16
66	и его	4	16
67	быть может	3	15
68	в этой	5	15
69	нет ничего	7	14
70	великом инквизиторе	6	14
71	так как	2	14
72	в творчестве	5	14
73	те которые	2	14
74	в глубине	7	14
75	из подполья	11	13
76	достоевского он	7	13
77	о великом	6	13
78	и вот	3	13
79	в легенде	4	13
80	достоевского к	2	13
81	и на	2	13
82	это не	3	12
83	в человеке	9	12
84	к нему	3	12
85	все это	6	12
86	все дозволено	2	12
87	он сам	4	12
88	с тем	2	11
89	свобода и	2	11
90	и там	2	11
91	к достоевскому	2	11
92	любовь к	2	11
93	человеческой личности	6	11
94	хотя бы	3	11
95	в которой	2	11
96	достоевского но	2	11
97	и для	2	11
98	русского человека	5	11
99	в русской	3	11
100	и к	2	11
101	не могут	3	10
102	достоевского не	4	10
103	для человека	2	10
104	о боге	4	10
105	образ человека	2	10
106	человека к	2	10
107	не имеет	2	10
108	в самой	9	10
109	он весь	2	9
110	свободной любви	3	9
111	достоевского было	3	9
112	а в	5	9
113	что и	2	9
114	должно быть	2	9
115	в бесах	3	9
116	русского народа	2	9
117	все что	3	9
118	человек и	4	9
119	с ним	3	9
120	лишь в	7	9
121	русского духа	4	9
122	вопрос о	10	8
123	ничего не	2	8
124	от него	7	8
125	в этих	3	8
126	дневнике писателя	2	8
127	человеке и	5	8
128	нужно искать	5	8
129	самого достоевского	3	8
130	человека есть	2	8
131	что не	4	8
132	того чтобы	4	8
133	о достоевском	2	8
134	т е	4	8
135	в свободе	3	8
136	только и	4	8
137	легенде о	3	8
138	с его	4	8
139	в дневнике	2	8
140	достоевского нет	2	8
141	тем что	2	8
142	для того	3	8
143	что есть	2	8
144	о том	3	8
145	и с	2	8
146	уже в	2	8
147	русский человек	4	7
148	что все	2	7
149	он в	2	7
150	все еще	2	7
151	что человек	3	7
152	жизни в	2	7
153	раскрывается в	5	7
154	герои достоевского	4	7
155	все в	4	7
156	человеку и	5	7
157	достоевского все	4	7
158	чем в	2	7
159	его в	2	6
160	личности и	2	6
161	самой глубины	3	6
162	влечет к	3	6
163	к гибели	3	6
164	всего в	2	6
165	этом он	2	6
166	в ее	2	6
167	что достоевский	2	6
168	достоевский раскрывает	5	6
169	его не	2	6
170	добро и	2	6
171	совсем не	2	6
172	должен был	2	6
173	в глубину	2	6
174	и от	3	6
175	и нет	2	6
176	этого мира	2	6
177	к ней	2	6
178	записок из	5	6
179	что у	2	6
180	природы в	2	5
181	человеческой судьбе	2	5
182	до самой	3	5
183	так и	2	5
184	и ивана	2	5
185	самой глубине	3	5
186	человеческую природу	2	5
187	о человеческой	4	5
188	человека его	3	5
189	достоевский открывает	2	5
190	человеческая природа	2	5
191	от человека	2	5
192	сказать что	2	5
193	одно из	2	5
194	его судьбе	2	5
195	него и	4	5
196	момент в	2	5
197	мысли и	3	5
198	мити карамазова	2	5
199	еще не	3	5
200	дважды два	4	5
201	когда он	3	5
202	в самую	4	5
203	как к	2	4
204	творчестве его	3	4
205	и никогда	2	4
206	антихристово начало	2	4
207	поступил как	2	4
208	все герои	5	4
209	так что	2	4
210	два четыре	3	4
211	в подростке	2	4
212	к этой	2	4
213	и этим	2	4
214	могут быть	3	4
215	был еще	2	4
216	и против	2	4
217	зла в	2	4
218	все эти	4	4
219	раскольникова ставрогина	3	4
220	что они	2	4
221	в истории	2	4
222	никто не	3	4
223	ума и	2	4
224	не все	2	4
225	достоевским и	2	4
226	все вращается	2	4
227	человека а	2	4
228	более всего	3	4
229	нем нет	3	4
230	взял все	2	4
231	в страдании	2	4
232	загадка о	3	4
233	человеческой природе	4	4
234	о бессмертии	4	4
235	он лишь	3	4
236	ни с	7	4
237	него не	2	4
238	в своих	3	4
239	курсив мой	4	4
240	ведь это	2	3
241	в идиоте	4	3
242	романов достоевского	2	3
243	все же	2	3
244	достоевском и	2	3
245	можно ли	2	3
246	в записках	3	3
247	что же	2	3
248	даже и	2	3
249	достоевского с	2	3
250	в уста	2	3
251	иваном карамазовым	2	3
252	всегда есть	4	3
253	природы он	2	3
254	было для	2	3
255	жаждал свободной	2	3
256	человеке о	4	3
257	которую он	2	3
258	не созерцает	2	3
259	хотя и	2	3
260	и то	2	3
261	и много	2	3
262	человека достоевский	2	3
263	в душе	2	3
264	к этому	2	3
265	в этот	2	3
266	художество достоевского	2	3
267	мысль о	2	3
268	к человекобожеству	2	3
269	со злом	3	3
270	все противоречия	2	3
271	человеку надо	3	3
272	в исступлении	2	3
273	него в	5	3
274	ничего кроме	2	3
275	глубине человека	3	3
276	записках из	3	3
277	и великий	3	3
278	в преступлении	4	3
279	ко всем	2	3
280	для человеческого	2	3
281	диалектика о	2	3
282	движение в	2	3
283	только одно	3	3
284	легенда о	2	3
285	учение о	2	3
286	себе даже	2	2
287	инквизитор говорит	2	2
288	достоевский раскрыл	4	2
289	подходить с	2	2
290	различие между	3	2
291	л шестов	2	2
292	идеалом содомским	2	2
293	за грани	2	2
294	и любовь	2	2
295	с разных	2	2
296	пожелать себе	2	2
297	ничего и	2	2
298	самое главное	2	2
299	же можно	2	2
300	с богом	2	2
301	своей жизни	2	2
302	людей счастливыми	2	2
303	и хаос	2	2
304	никакого другого	2	2
305	героев достоевского	2	2
306	самой последней	2	2
307	единственно для	2	2
308	с которой	2	2
309	у кого	2	2
310	что человеку	2	2
311	быть человек	2	2
312	и ее	3	2
313	периферии бытия	2	2
314	с чего	2	2
315	подполья и	3	2
316	в романах	4	2
317	не могли	2	2
318	достоевский прежде	2	2
319	черту и	2	2
320	потребность в	2	2
321	достоевского нужно	2	2
322	это было	3	2
323	россии в	2	2
324	только бога	2	2
325	глубине не	2	2
326	на периферии	2	2
327	к черту	2	2
328	и мысли	4	2
329	ее в	2	2
330	антропологии достоевского	2	2
331	и о	2	2
332	но никогда	2	2
333	добром и	2	2
334	на западе	2	2
335	что ведь	2	2
336	так человек	2	2
337	достоевский открыл	2	2
338	их не	2	2
339	раскрывает достоевский	2	2
340	через человека	4	2
341	ни у	2	2
342	человеке в	5	2
343	открытия о	2	2
344	по себе	2	2
345	достоевский весь	2	2
346	романах достоевского	3	2
347	много раз	2	2
348	своя воля	2	2
349	кажется и	2	2
350	одного только	2	2
