N	2gram	Voloshinov	Vladivir
1	и в	16	116
2	то что	3	71
3	и не	4	67
4	не только	7	65
5	у него	2	65
6	в этом	9	53
7	в том	3	52
8	том что	3	51
9	что в	3	48
10	но и	4	47
11	в его	4	40
12	и с	8	39
13	сказать что	7	36
14	и даже	4	36
15	учение о	3	35
16	что он	2	32
17	не может	8	31
18	о том	2	30
19	только в	4	30
20	никогда не	2	29
21	как мы	4	29
22	для него	6	29
23	а в	3	27
24	но в	4	25
25	и его	8	25
26	точки зрения	8	23
27	может быть	17	23
28	он не	2	23
29	так как	4	22
30	ни в	5	22
31	в своей	2	21
32	вместе с	3	21
33	прежде всего	9	20
34	для нас	2	20
35	и потому	3	19
36	и вообще	2	19
37	так и	4	19
38	не менее	2	19
39	таким образом	9	19
40	как это	3	18
41	как и	2	18
42	с его	7	18
43	едва ли	3	17
44	что и	2	17
45	в этой	4	17
46	совсем не	2	16
47	было бы	2	16
48	и все	4	16
49	не есть	2	16
50	но это	2	15
51	к этому	2	15
52	то же	2	15
53	и к	6	15
54	того же	2	14
55	все эти	5	14
56	и как	3	14
57	и на	4	14
58	мы уже	2	14
59	так же	2	13
60	можно сказать	4	13
61	что это	2	13
62	жизни и	3	13
63	только на	3	12
64	в нем	4	12
65	и по	2	12
66	во всяком	3	12
67	и это	6	12
68	всяком случае	3	12
69	и о	2	11
70	при этом	6	11
71	все это	4	11
72	хотя бы	4	11
73	в основном	3	11
74	еще не	5	10
75	в самом	2	10
76	отнюдь не	4	10
77	с точки	6	10
78	с ним	2	10
79	для меня	2	9
80	но как	2	9
81	и притом	3	9
82	мы знаем	3	9
83	своей жизни	2	9
84	в начале	2	9
85	с этим	2	9
86	не будет	2	9
87	этом смысле	3	9
88	что мы	2	9
89	отношения к	3	9
90	только и	2	8
91	отношение к	5	8
92	в чем	5	8
93	как бы	5	8
94	из этих	2	8
95	в этот	2	8
96	с этой	2	8
97	в этих	3	8
98	и для	2	8
99	конечно не	6	8
100	в каком	2	7
101	другими словами	2	7
102	в свое	2	7
103	и мы	2	7
104	за пределы	2	7
105	даже не	3	7
106	и вот	3	7
107	в одном	3	7
108	на первый	2	7
109	и есть	3	7
110	в них	2	7
111	его в	4	6
112	те же	3	6
113	есть и	2	6
114	что на	2	6
115	в общем	3	6
116	по своему	2	6
117	мысли и	4	6
118	и наконец	4	6
119	мы не	2	6
120	в жизни	2	6
121	если мы	2	6
122	и теперь	3	6
123	но мы	4	5
124	в частности	2	5
125	с самого	4	5
126	всей жизни	2	5
127	один из	2	5
128	во время	3	5
129	в области	3	5
130	сводится к	2	5
131	ее в	2	5
132	все то	2	5
133	только то	2	5
134	во всех	3	5
135	и так	2	5
136	и только	9	5
137	на самом	4	4
138	не могут	2	4
139	крайней мере	3	4
140	в науке	2	4
141	и других	2	4
142	совершенно не	8	4
143	нам кажется	2	4
144	что можно	2	4
145	себя и	2	4
146	всю жизнь	2	4
147	на этих	2	4
148	но зато	2	4
149	кажется что	2	4
150	тех же	3	4
151	мы можем	9	4
152	не на	2	4
153	по крайней	3	4
154	нет и	2	4
155	их в	3	4
156	знаем что	2	4
157	на этом	3	4
158	как с	2	4
159	него только	2	3
160	и ее	4	3
161	и через	2	3
162	между ними	3	3
163	нет никаких	2	3
164	и вся	2	3
165	самом деле	6	3
166	это последнее	2	3
167	что не	2	3
168	и она	3	3
169	здесь же	2	3
170	этих трех	2	3
171	и др	3	3
172	же как	2	3
173	самого начала	4	3
174	находится в	2	3
175	и этот	2	3
176	нечего и	2	3
177	с ними	4	3
178	только как	3	3
179	с их	3	3
180	я и	6	3
181	это делает	2	3
182	что такое	5	3
183	все что	4	3
184	оно не	2	3
185	не существует	2	3
186	и действительно	2	3
187	не существовало	2	2
188	путь к	2	2
189	и говорить	2	2
190	только для	5	2
191	к себе	3	2
192	ни было	2	2
193	все и	2	2
194	некоторые моменты	2	2
195	этой теории	2	2
196	почти не	2	2
197	в одно	2	2
198	со всеми	2	2
199	на этой	3	2
200	для всех	4	2
201	они не	2	2
202	но оно	3	2
203	мира и	3	2
204	а может	2	2
205	и может	4	2
206	к отцу	6	2
207	в основе	3	2
208	с другими	3	2
209	меньше всего	2	2
210	в душе	2	2
211	поэтому и	2	2
212	с ее	4	2
213	как не	2	2
214	и их	4	2
215	во сне	2	2
216	чем не	3	2
217	сих пор	3	2
218	во всей	2	2
219	и пр	12	2
220	потому и	2	2
221	всего а	2	2
222	не можем	2	2
223	можно назвать	2	2
224	говорить о	2	2
225	до сих	3	2
