N	2gram	Berdyaev_N	Literetu
1	а не	17	50
2	и не	11	47
3	не только	5	46
4	и в	16	44
5	может быть	7	43
6	но и	3	41
7	в том	8	39
8	в этом	7	38
9	том что	2	32
10	такого рода	2	30
11	то что	4	29
12	в мире	3	28
13	как и	7	23
14	в то	2	23
15	не в	6	22
16	так и	2	22
17	себя в	2	22
18	не может	16	22
19	в себе	2	20
20	и т.п	2	20
21	прежде всего	4	19
22	с другой	3	17
23	в жизни	5	16
24	не менее	4	15
25	я не	2	15
26	и даже	2	14
27	как это	2	13
28	с одной	2	13
29	но не	2	13
30	уже не	2	13
31	в своей	3	12
32	еще не	3	12
33	о том	4	12
34	одной стороны	2	12
35	никогда не	6	11
36	это не	4	11
37	с его	6	11
38	как в	3	11
39	а в	2	11
40	в основе	3	11
41	вместе с	2	11
42	что в	9	10
43	в ее	3	10
44	жизни в	3	10
45	и на	2	10
46	потому что	4	10
47	жизни и	8	10
48	к тому	3	9
49	лишь в	6	9
50	одна из	2	8
51	быть может	4	8
52	по существу	2	8
53	xix века	5	8
54	но в	2	8
55	для этого	2	7
56	другой стороны	2	7
57	и для	4	7
58	перестает быть	4	7
59	и с	2	7
60	тому как	3	7
61	в нем	5	7
62	он не	8	7
63	культуры в	5	6
64	не было	4	6
65	во всех	3	6
66	с ее	5	6
67	подобно тому	3	6
68	в ней	5	6
69	у него	2	6
70	как будто	2	6
71	права на	2	5
72	не знает	6	5
73	место в	2	5
74	хотя бы	2	5
75	в россии	3	5
76	должно быть	4	5
77	мы не	2	5
78	во имя	15	5
79	том чтобы	2	5
80	и к	5	5
81	жизни как	2	5
82	к жизни	3	5
83	не к	2	5
84	жизни к	4	4
85	все время	2	4
86	с тем	3	4
87	и все	4	4
88	могут быть	2	4
89	духовной жизни	2	4
90	в них	4	4
91	более не	2	4
92	в природе	2	4
93	хотя и	2	4
94	свободы от	2	4
95	но это	6	4
96	за пределы	3	4
97	такой же	2	4
98	ни к	2	4
99	все они	2	4
100	жизни не	3	4
101	и что	2	4
102	и есть	10	4
103	вопрос о	3	3
104	и потому	4	3
105	бытия в	2	3
106	так же	2	3
107	свободы и	2	3
108	времени в	2	3
109	же как	2	3
110	того чтобы	2	3
111	все эти	2	3
112	в истории	3	3
113	должна быть	3	3
114	который в	2	3
115	и от	2	3
116	жизнью в	2	3
117	можно было	2	3
118	с их	2	3
119	мысли и	2	3
120	не имеет	4	3
121	культуры нового	2	3
122	что такое	3	3
123	не есть	3	3
124	мира и	2	3
125	и культуры	2	3
126	в будущем	2	2
127	человека и	3	2
128	должно стать	2	2
129	к власти	3	2
130	должен быть	5	2
131	роль в	2	2
132	это и	2	2
133	к ее	3	2
134	общественной жизни	6	2
135	самой жизни	2	2
136	быть в	2	2
137	стремится к	3	2
138	она не	3	2
139	в обществе	2	2
140	истории это	3	2
141	в русском	2	2
142	в центре	2	2
143	революции и	3	2
144	мира а	2	2
145	сказать что	3	2
146	мировой войны	4	2
147	нового типа	2	2
148	нашего времени	2	2
149	и мы	4	2
150	в духовной	2	2
151	не означает	3	2
152	на протяжении	2	2
153	культуры и	7	2
154	есть в	2	2
155	нет и	2	2
156	есть лишь	4	2
157	мир и	2	2
158	к более	2	2
159	и было	2	2
160	можно назвать	2	2
161	нового времени	12	2
162	от бога	6	2
163	xviii века	2	2
