N	2gram	Medvedev_S	SlovoVZh
1	может быть	2	14
2	как бы	2	13
3	и в	3	12
4	таким образом	2	12
5	отношению к	2	11
6	по отношению	2	11
7	для нас	3	7
8	в том	5	6
9	только в	2	6
10	том что	2	5
11	то же	2	5
12	должна быть	2	5
13	то что	2	5
14	в этом	5	4
15	не только	3	4
16	не в	3	4
17	за пределы	2	4
18	литературы и	2	4
19	еще не	2	3
20	все это	7	3
21	но и	2	3
22	в его	3	2
23	что в	2	2
24	истории литературы	10	2
25	метод в	4	2
26	и что	2	2
27	по природе	2	2
28	как же	3	2
29	как только	2	2
30	им не	2	2
31	социологический метод	4	2
