N	2gram	Ircho_Kome	Otkroven
1	у него	6	22
2	и в	40	19
3	но и	14	13
4	и не	19	13
5	в этом	9	12
6	не только	12	11
7	человека в	2	11
8	не в	8	11
9	может быть	16	11
10	и все	4	10
11	в нем	8	10
12	вопрос о	5	10
13	к человеку	2	9
14	в самой	2	9
15	потому что	8	9
16	прежде всего	8	9
17	он был	4	8
18	в его	8	7
19	до конца	3	7
20	он не	5	7
21	но он	2	7
22	как и	12	6
23	все это	7	6
24	а в	9	5
25	в том	19	5
26	о его	5	5
27	человеку и	2	5
28	в самом	5	5
29	то что	8	5
30	в этой	9	5
31	до самого	3	5
32	отношение к	3	5
33	и его	17	4
34	что в	12	4
35	того чтобы	4	4
36	т е	14	4
37	не может	3	4
38	с его	4	4
39	в себе	3	3
40	и от	2	3
41	о том	12	3
42	это не	2	3
43	к нему	5	3
44	что он	11	3
45	и вот	4	3
46	было бы	8	3
47	для того	3	3
48	еще не	7	3
49	все что	3	3
50	в этих	5	3
51	в своих	2	3
52	и ее	5	3
53	никто не	3	3
54	чем на	2	3
55	как бы	3	3
56	хотя бы	2	3
57	могут быть	3	3
58	это было	5	3
59	и на	9	2
60	с тем	5	2
61	уже в	9	2
62	что же	2	2
63	и для	4	2
64	совсем не	2	2
65	из всего	2	2
66	не могли	2	2
67	ничего не	4	2
68	и с	8	2
69	что и	10	2
70	ее в	2	2
71	в ее	2	2
72	в других	3	2
73	в своем	6	2
74	тем что	5	2
75	но в	6	2
76	том что	19	2
77	все же	7	2
78	самого конца	3	2
79	в своей	3	2
80	так как	6	2
81	по себе	2	2
82	что у	6	2
83	что они	4	2
84	в истории	10	2
85	так что	6	2
86	не все	2	2
87	и о	3	2
88	к этому	8	2
89	и к	2	2
90	так и	17	2
91	и очень	2	2
92	в которой	9	2
93	которую он	3	2
94	к ней	2	2
95	хотя и	6	2
96	и из	2	2
97	всего в	5	2
98	в другом	5	2
99	сразу же	5	2
100	его в	6	2
