N	2gram	Savitsky_E	Stilisti
1	и в	37	42
2	как бы	6	30
3	не только	18	28
4	прежде всего	9	22
5	хотя бы	15	18
6	то же	15	16
7	но и	14	16
8	и не	14	14
9	не может	9	13
10	может быть	6	13
11	как и	7	12
12	точки зрения	23	11
13	в себе	9	10
14	и как	2	10
15	отнюдь не	9	10
16	мы должны	2	10
17	в этом	12	10
18	как мы	5	10
19	в то	16	9
20	для того	6	9
21	то что	6	9
22	мы не	4	9
23	тем самым	5	8
24	так как	7	8
25	с тем	3	8
26	в ней	4	8
27	что же	2	8
28	таким образом	2	8
29	никогда не	3	7
30	и от	3	7
31	мы можем	3	7
32	же время	14	7
33	так и	10	7
34	потому что	3	7
35	только в	9	7
36	а не	2	7
37	и на	6	7
38	того чтобы	6	7
39	было бы	8	7
40	и тем	3	7
41	или иной	4	6
42	бы в	2	6
43	во всех	6	6
44	не в	5	6
45	в области	11	6
46	в свою	3	6
47	в процессе	4	6
48	в его	2	6
49	в этой	2	6
50	и то	2	5
51	того или	4	5
52	независимо от	4	5
53	то есть	6	5
54	не является	3	5
55	и наконец	2	5
56	как это	4	5
57	мы видели	3	5
58	а в	2	5
59	но в	14	5
60	или иного	4	5
61	в самом	4	5
62	и с	2	5
63	в той	5	5
64	с точки	17	5
65	вместе с	2	5
66	что это	2	4
67	в одном	2	4
68	так же	9	4
69	ту или	3	4
70	в данной	3	4
71	если бы	2	4
72	свою очередь	2	4
73	влияние на	2	4
74	того что	7	4
75	всего в	2	4
76	можно было	3	4
77	и все	2	4
78	к тому	8	4
79	о том	3	4
80	или иную	3	4
81	точка зрения	2	4
82	и к	3	4
83	мы видим	2	4
84	той или	4	4
85	в качестве	14	4
86	заключает в	3	4
87	можно сказать	4	4
88	не к	2	4
89	сказать что	4	3
90	том что	6	3
91	в будущем	3	3
92	и эта	2	3
93	и поэтому	2	3
94	долгое время	2	3
95	и даже	6	3
96	целый ряд	2	3
97	во второй	3	3
98	в том	11	3
99	в частности	5	3
100	как в	3	3
101	к той	2	3
102	по своему	7	3
103	и для	3	3
104	ни на	3	3
105	приближается к	3	3
106	в котором	2	3
107	заметить что	2	3
108	между ними	2	3
109	не будет	3	3
110	главным образом	2	3
111	из них	3	3
112	для нас	4	3
113	хотя и	2	3
114	несмотря на	4	3
115	жизни и	2	3
116	что и	3	3
117	в ее	8	3
118	что эти	2	3
119	между тем	8	3
120	в каком	4	2
121	в отношении	32	2
122	вопрос о	4	2
123	очевидно что	3	2
124	и потому	5	2
125	помнить что	2	2
126	с этим	2	2
127	с другими	2	2
128	но как	2	2
129	бы и	3	2
130	но даже	4	2
131	не нужно	2	2
132	при условии	2	2
133	есть не	2	2
134	или хотя	2	2
135	тем что	3	2
136	этом отношении	3	2
137	в их	11	2
138	в значительной	2	2
139	в этих	2	2
140	в идеологическом	2	2
141	по своей	2	2
142	связано с	3	2
143	в пределах	25	2
144	в какой	2	2
145	себе в	3	2
146	ведь и	2	2
147	одной из	5	2
148	в мире	2	2
149	на этот	2	2
150	но не	5	2
151	и этот	2	2
152	также и	7	2
153	к нему	2	2
154	не из	3	2
155	в своих	2	2
156	еще более	2	2
157	одну и	2	2
158	не есть	2	2
159	этот вопрос	2	2
160	в которых	3	2
161	не говоря	2	2
162	иными словами	4	2
163	представляет собой	3	2
164	между собой	2	2
165	и ту	2	2
166	место в	3	2
167	для них	2	2
168	как не	2	2
169	в своей	8	2
170	или в	2	2
171	он не	2	2
172	случаях когда	2	2
173	вовсе не	6	2
174	этот процесс	2	2
