N	3gram	Tiupa_Narr	VeschiIm
1	не может быть	5	24
2	то ни было	3	12
3	не что иное	2	12
4	бы то ни	3	12
5	что иное как	2	12
6	тем не менее	3	11
7	в том что	8	9
8	с точки зрения	2	6
9	так или иначе	2	6
10	в то же	3	5
11	подобно тому как	2	5
12	не только в	2	5
13	в свою очередь	3	5
14	более или менее	2	4
15	этой точки зрения	2	4
16	о том что	6	4
17	то же время	3	4
18	можно сказать что	4	3
19	можно было бы	2	3
20	не может не	2	3
21	ту или иную	2	3
22	с одной стороны	7	3
23	с другой стороны	4	3
24	сами по себе	2	3
25	все же не	4	3
26	и не в	4	3
27	в основе своей	4	2
28	но все же	4	2
29	в этом отношении	3	2
30	в связи с	2	2
31	так же как	2	2
32	в данном случае	4	2
33	в том или	2	2
34	а не в	2	2
35	мы имеем дело	2	2
36	в первом случае	2	2
37	в той или	2	2
