N	3gram	Propp_Isto	slovoVRo
1	не может быть	6	19
2	с одной стороны	7	11
3	и т д	36	10
4	в этом случае	13	9
5	и в особенности	2	7
6	так и в	2	6
7	с другой стороны	10	6
8	но все же	6	6
9	в том что	4	5
10	не только в	2	5
11	по отношению к	2	5
12	для того чтобы	3	4
13	друг с другом	2	4
14	таким образом в	2	4
15	до сих пор	7	4
16	одно и то	2	3
17	как мы видели	2	3
18	и то же	2	3
19	как и в	4	3
20	в данном случае	2	3
21	в связи с	6	3
22	мы не знаем	2	2
23	во всех этих	2	2
24	же как и	4	2
25	о том что	5	2
26	не исключают друг	2	2
27	в то время	3	2
28	но и в	2	2
29	этой точки зрения	2	2
30	то время как	3	2
31	с этой точки	2	2
32	исключают друг друга	2	2
33	тем что он	3	2
34	тем не менее	6	2
