N	2gram	Bakhtin_fo	NovoeSre
1	а не	7	17
2	и в	84	16
3	не может	8	16
4	совсем не	4	12
5	и не	19	11
6	и есть	3	10
7	в эпоху	5	9
8	что в	9	9
9	жизни и	12	8
10	в том	16	8
11	он не	6	8
12	может быть	18	7
13	средние века	4	7
14	как и	15	7
15	в этом	41	7
16	никогда не	8	6
17	лишь в	8	6
18	ни в	9	6
19	не в	10	6
20	не знает	4	6
21	с его	10	6
22	не только	16	5
23	в жизни	6	5
24	должен быть	2	5
25	все это	10	5
26	в нем	28	5
27	с ее	7	5
28	в ней	4	5
29	и к	4	5
30	должно быть	6	4
31	по своему	3	4
32	со всех	2	4
33	в них	11	4
34	xix и	2	4
35	и для	12	4
36	не имеет	5	4
37	всех сторон	2	4
38	прежде всего	28	4
39	не было	8	4
40	и потому	4	4
41	то что	13	4
42	о том	4	4
43	это не	8	4
44	потому что	11	4
45	и все	10	4
46	большую роль	4	4
47	значит что	2	4
48	смысле слова	4	3
49	в мире	4	3
50	в прошлом	3	3
51	но и	14	3
52	к жизни	2	3
53	с другой	4	3
54	в ее	6	3
55	она не	2	3
56	к тому	6	3
57	и пр	2	3
58	жизни в	11	3
59	в своей	2	3
60	еще не	8	3
61	к ним	3	3
62	жизни не	3	3
63	в истории	6	3
64	человека и	15	3
65	эти формы	2	3
66	в новое	4	3
67	как в	10	3
68	конечно не	7	3
69	сказать что	4	3
70	во всех	13	3
71	жизни которые	2	3
72	вопрос о	2	3
73	это было	2	3
74	стремится к	2	3
75	бога и	2	3
76	к реальному	3	3
77	наряду с	7	3
78	в основе	9	3
79	с тем	5	3
80	в средние	4	3
81	время как	5	2
82	в себе	7	2
83	и должно	2	2
84	для нового	2	2
85	все они	4	2
86	и с	10	2
87	одна из	3	2
88	формы и	4	2
89	себя в	2	2
90	но не	9	2
91	нет и	4	2
92	и т.п	6	2
93	что все	4	2
94	и от	3	2
95	не могли	3	2
96	роль в	12	2
97	того чтобы	11	2
98	и это	5	2
99	хотя бы	2	2
100	когда мы	2	2
101	и весь	2	2
102	же как	2	2
103	а в	6	2
104	но в	16	2
105	том что	7	2
106	не к	2	2
107	нового типа	2	2
108	мир и	2	2
109	можно назвать	2	2
110	и на	13	2
111	с этим	11	2
112	борьба и	2	2
113	есть в	3	2
114	все эти	12	2
115	мы не	4	2
116	на протяжении	3	2
117	в смысле	5	2
118	и было	4	2
119	не имеют	4	2
120	связаны с	3	2
121	вернуться к	2	2
122	времени в	14	2
123	в мировой	2	2
124	мира и	6	2
125	у него	8	2
126	времени и	10	2
127	равно как	4	2
128	уже не	5	2
129	этот мир	2	2
130	по существу	17	2
131	с их	2	2
132	как это	2	2
133	так же	7	2
134	так и	17	2
135	ни к	3	2
136	нем нет	2	2
137	могут быть	7	2
138	жизни как	2	2
139	но для	2	2
140	одной стороны	3	2
141	но она	2	2
142	в то	13	2
143	не могла	2	2
144	века и	3	2
145	хотя и	5	2
146	с одной	5	2
147	xviii века	3	2
148	место в	4	2
149	и даже	5	2
150	в центре	2	2
151	вместе с	9	2
