N	3gram	Vygotskiy_	FransuaR
1	в то же	2	55
2	мы уже говорили	2	43
3	как мы уже	2	28
4	до сих пор	6	27
5	в том числе	2	27
6	в том что	24	27
7	в большинстве случаев	2	22
8	в этом отношении	7	20
9	с точки зрения	31	20
10	для того чтобы	24	17
11	о том что	4	17
12	том числе и	2	17
13	как мы видели	7	16
14	на самом деле	2	13
15	не может быть	6	13
16	с одной стороны	7	13
17	в той же	2	13
18	с другой стороны	3	12
19	можно сказать что	7	11
20	в отличие от	4	11
21	той или иной	2	10
22	в данном случае	5	10
23	как и в	4	10
24	не только в	2	10
25	по отношению к	9	9
26	до известной степени	2	9
27	мы видели что	3	8
28	таким образом в	2	8
29	включает в себя	2	7
30	можно было бы	5	7
31	прежде всего в	2	7
32	в самом деле	4	7
33	в значительной мере	2	7
34	подобно тому как	2	7
35	в то время	8	7
36	о чем мы	2	6
37	с самого начала	13	6
38	в свою очередь	3	6
39	и во всех	2	6
40	то же самое	11	5
41	в первом случае	5	5
42	вместо того чтобы	2	5
43	в том же	3	5
44	как раз в	3	5
45	друг с другом	6	5
46	одной стороны и	4	5
47	по сравнению с	20	5
48	потому что он	4	5
49	одной и той	5	4
50	имеет в виду	3	4
51	в собственном смысле	4	4
52	в самом начале	5	4
53	и не может	2	4
54	во втором случае	5	4
55	мы находим в	2	4
56	так же как	13	4
57	и той же	5	4
58	том что в	3	4
59	и то что	5	4
60	содержит в себе	4	3
61	мысли и слова	4	3
62	хотя и в	2	3
63	в этом смысле	2	3
64	не только не	11	3
65	заключается в том	9	3
66	вместе с тем	6	3
67	нет и не	3	3
68	и там где	2	3
69	все эти три	2	3
70	одного и того	3	3
71	и того же	3	3
72	смысле этого слова	4	3
73	и в этом	2	3
74	друг от друга	3	3
75	в себе в	2	3
76	на котором мы	2	2
77	сам по себе	2	2
78	по своей природе	4	2
79	именно в этом	3	2
80	так и по	2	2
81	одним и тем	2	2
82	у нее нет	2	2
83	мысль и слово	3	2
84	и тем же	2	2
85	мы знаем что	2	2
86	потому что они	2	2
87	не могут быть	3	2
88	в этом случае	15	2
89	в конечном счете	2	2
90	находит свое выражение	3	2
91	из того что	5	2
92	мы не можем	3	2
93	же как и	3	2
94	по этому поводу	3	2
95	том что он	2	2
96	друг к другу	3	2
97	и вместе с	2	2
98	после всего сказанного	2	2
99	между словом и	8	2
100	то что для	2	2
101	в известном смысле	2	2
102	но и не	3	2
