N	2gram	Nazirov_Tr	VeschiIm
1	и не	7	57
2	не только	8	48
3	то что	4	48
4	не может	5	46
5	и в	18	45
6	может быть	7	39
7	что я	4	26
8	потому что	2	25
9	не просто	2	24
10	в себе	4	23
11	что она	2	23
12	и что	4	22
13	как бы	7	20
14	и ее	2	19
15	что это	5	19
16	но и	4	19
17	все же	5	18
18	в этом	9	18
19	и это	2	17
20	прежде всего	4	17
21	от всего	2	15
22	в том	2	15
23	как и	5	15
24	уже не	2	15
25	не в	2	14
26	и то	2	14
27	но это	4	14
28	том что	4	13
29	в самом	2	13
30	ничего не	2	12
31	что в	4	12
32	что и	2	12
33	и как	3	12
34	то же	5	12
35	еще не	4	12
36	и даже	4	12
37	о том	2	12
38	и с	7	12
39	в то	5	11
40	ни в	2	11
41	с ее	3	10
42	это не	5	9
43	так что	2	9
44	в своем	3	9
45	то и	2	9
46	бы и	2	9
47	должно быть	3	9
48	и его	6	9
49	с ним	3	9
50	его в	2	8
51	что он	6	8
52	но в	6	8
53	в ее	2	8
54	все это	4	8
55	с тем	2	8
56	для него	3	8
57	отнюдь не	3	8
58	все эти	3	7
59	я не	4	7
60	тем что	2	7
61	мог бы	3	7
62	никогда не	2	6
63	вопрос о	2	6
64	как же	2	6
65	и все	4	6
66	в нем	4	6
67	и до	2	6
68	одна из	2	6
69	в данном	2	6
70	несмотря на	5	6
71	в одном	2	6
72	ничем не	2	5
73	как это	3	5
74	один из	3	5
75	в его	3	5
76	об этом	4	5
77	и здесь	2	5
78	она должна	2	4
79	так же	4	4
80	в конце	3	4
81	отношение к	2	4
82	что вы	3	4
83	так и	5	4
84	что все	2	4
85	в этой	4	4
86	тут же	2	4
87	говорит о	2	4
88	же время	6	4
89	он не	2	4
90	и сам	3	4
91	перед нами	2	3
92	состоит из	2	3
93	в виде	2	3
94	в частности	2	3
95	к нему	3	3
96	к тому	2	3
97	в целом	4	3
98	было в	2	3
99	из самых	2	3
100	говорит что	2	3
101	а я	5	3
102	на меня	2	3
103	как в	3	3
104	не мог	2	3
105	но все	2	3
106	у него	6	3
107	не имеет	2	3
108	данном случае	2	2
109	тем самым	3	2
110	а что	2	2
111	о чем	3	2
112	еще раз	2	2
113	в это	2	2
114	то есть	3	2
115	не был	2	2
116	но эта	2	2
117	не так	2	2
118	это уже	2	2
119	уже в	3	2
120	знает что	2	2
121	в первом	2	2
122	что эти	2	2
123	только к	2	2
124	но они	2	2
125	жизнь и	3	2
126	ее к	2	2
127	не случайно	2	2
128	он и	2	2
129	и на	7	2
130	что образ	3	2
131	раз и	2	2
132	он сам	7	2
133	только о	2	2
134	как будто	3	2
135	с его	2	2
