N	3gram	Vinokur_Vv	Morfolog
1	и т д	39	60
2	в этих случаях	2	14
3	в этом случае	6	10
4	не может быть	10	9
5	в связи с	2	9
6	по отношению к	4	7
7	с точки зрения	4	6
8	тем не менее	9	6
9	подобно тому как	2	5
10	а также и	2	5
11	с другой стороны	5	5
12	может быть названо	4	4
13	но все же	4	4
14	в том что	15	4
15	т д но	5	4
16	не могут быть	2	4
17	о том что	13	3
18	состоит в том	2	3
19	для того чтобы	22	3
20	в первом случае	2	3
21	в собственном смысле	3	3
22	вопрос о том	5	2
23	во всяком случае	5	2
24	не что иное	5	2
25	в данном случае	4	2
26	что иное как	5	2
27	в этом отношении	4	2
28	это еще не	2	2
29	т д в	2	2
30	и тем не	3	2
31	точно так же	2	2
32	т д а	2	2
33	до наших дней	2	2
34	может быть и	2	2
35	можно было бы	4	2
36	с одной стороны	4	2
