N	3gram	Propp_Isto	Mirosoze
1	не может быть	5	28
2	в том что	7	9
3	о том что	9	6
4	вместе с тем	6	6
5	но и в	4	5
6	после того как	4	5
7	и вместе с	3	5
8	до сих пор	4	5
9	что и в	3	5
10	мы увидим что	2	5
11	по отношению к	3	4
12	то время как	4	4
13	можно было бы	3	4
14	в то время	4	4
15	во всяком случае	3	3
16	это значит что	2	3
17	с тем что	2	3
18	но это не	3	3
19	как и в	3	3
20	так же как	4	3
21	так как он	4	3
22	в ином мире	11	2
23	т е в	2	2
24	в ней нет	2	2
25	лежит в основе	2	2
26	на то чтобы	2	2
27	у него есть	2	2
28	что это не	2	2
29	не только в	9	2
30	том что в	2	2
31	в иной мир	2	2
