N	3gram	Tiupa_Anal	Myshleni
1	в том что	13	133
2	с точки зрения	6	89
3	для того чтобы	3	78
4	по отношению к	9	42
5	с одной стороны	6	39
6	друг с другом	2	35
7	то же самое	3	31
8	в этом отношении	5	30
9	в этом случае	4	27
10	с другой стороны	2	26
11	о том что	8	25
12	на то что	2	25
13	не может быть	17	23
14	к тому что	2	22
15	не только не	2	21
16	из того что	3	19
17	и тем самым	2	19
18	в самом деле	3	19
19	в отличие от	8	18
20	состоит в том	6	18
21	в этом смысле	3	18
22	этой точки зрения	2	17
23	одного и того	2	17
24	в связи с	2	17
25	и того же	2	17
26	с этой точки	2	16
27	в известном смысле	2	15
28	в данном случае	3	15
29	подобно тому как	5	14
30	тем не менее	3	12
31	и тот же	2	12
32	одно и то	2	12
33	в том чтобы	7	12
34	и то же	2	12
35	в том числе	3	10
36	в самом начале	3	10
37	в конечном счете	5	9
38	именно в этом	2	9
39	более или менее	2	9
40	том что он	2	9
41	как и в	2	9
42	не могут быть	2	8
43	в равной мере	2	8
44	той или иной	8	8
45	в первом случае	2	7
46	содержит в себе	3	7
47	не что иное	5	6
48	в обоих случаях	2	6
49	что иное как	6	6
50	и не может	4	6
51	в том и	2	6
52	и тогда когда	2	6
53	в той мере	2	5
54	в свое время	3	5
55	в то же	9	5
56	того и другого	2	5
57	той мере в	2	5
58	и в этом	4	5
59	прежде всего в	2	5
60	мере в какой	2	5
61	сами по себе	3	5
62	не только в	3	5
63	тому или иному	2	4
64	есть не что	4	4
65	но и в	3	4
66	между тем как	2	4
67	это означает что	2	4
68	мы имеем дело	7	4
69	одни и те	2	4
70	есть в сущности	2	4
71	вместе с ним	2	4
72	и те же	2	4
73	бы то ни	3	3
74	же самое время	2	3
75	имеем дело с	4	3
76	не остается ничего	2	3
77	и в самом	3	3
78	то ни было	3	3
79	того что в	2	3
80	нет и не	2	3
81	в соответствии с	2	3
82	тех или иных	3	3
83	но и не	5	3
84	как раз и	2	3
85	к тому же	6	3
86	того или иного	3	3
87	то же время	7	3
88	как и на	2	2
89	в результате чего	2	2
90	и все же	2	2
91	в частности в	2	2
92	значении этого слова	7	2
93	может быть сведено	3	2
94	в силу своей	3	2
95	в ответ на	2	2
96	в этой связи	2	2
97	и т.д в	2	2
98	быть сведено к	2	2
99	в той или	3	2
100	как бы не	2	2
