N	3gram	Propp_Isto	RusskieA
1	в том что	6	49
2	и т д	35	21
3	тем не менее	7	14
4	д к зеленин	2	13
5	в этом случае	3	12
6	вместе с тем	7	11
7	о том что	5	10
8	подобно тому как	3	8
9	мы не можем	3	7
10	как мы увидим	2	7
11	в это время	2	6
12	по этому поводу	2	6
13	не может быть	8	6
14	после того как	2	6
15	так же как	6	6
16	в связи с	5	5
17	мы видели что	3	5
18	не что иное	3	4
19	в то время	3	4
20	можно было бы	5	4
21	не только на	2	4
22	мы не будем	4	4
23	что иное как	3	4
24	в этих случаях	10	4
25	в отличие от	3	4
26	более или менее	5	3
27	по отношению к	6	3
28	в лесу или	2	3
29	с тем что	3	3
30	здесь мы имеем	2	3
31	до сих пор	11	3
32	все же не	2	3
33	мы уже видели	4	3
34	на то что	5	3
35	когда мы рассмотрим	2	2
36	как уже указано	2	2
37	мы уже знаем	3	2
38	на самом деле	2	2
39	так как в	2	2
40	стоит в связи	2	2
41	потому что он	2	2
42	может быть назван	2	2
43	в большинстве случаев	4	2
44	мы увидим ниже	5	2
45	о том как	2	2
46	для нас не	2	2
47	т д и	2	2
48	иметь в виду	2	2
49	по его мнению	2	2
50	не только в	5	2
51	вопрос о том	2	2
52	друг с другом	3	2
53	с одной стороны	7	2
54	дело не в	2	2
55	мы увидим что	8	2
56	не будем здесь	2	2
57	но так как	2	2
58	в других случаях	2	2
59	с другой стороны	7	2
60	выше мы видели	3	2
61	для наших целей	2	2
62	но все же	7	2
63	мы должны будем	4	2
