N	3gram	Voloshinov	formyVre
1	то же время	7	21
2	в то же	9	18
3	в связи с	2	15
4	как мы уже	3	15
5	с точки зрения	5	15
6	для того чтобы	7	12
7	но и в	3	12
8	не только в	3	11
9	и в то	2	10
10	прежде всего в	4	7
11	в этом отношении	2	7
12	не может быть	2	7
13	одно и то	5	5
14	и то же	5	5
15	и не только	2	5
16	той или иной	4	5
17	в этом случае	3	4
18	связи с этим	2	4
19	но все же	3	4
20	по отношению к	2	4
21	равно как и	2	4
22	но при этом	2	3
23	все то что	2	3
24	то же самое	4	3
25	и как бы	2	3
26	в зависимости от	7	3
27	о том что	2	3
28	но в то	2	3
29	вместе с тем	2	3
30	в точном смысле	2	3
31	с самого начала	4	3
32	как мы увидим	2	3
33	тот или иной	2	3
34	само собой разумеется	2	2
35	не было бы	2	2
36	к тому что	2	2
37	мы будем говорить	2	2
38	можно сказать что	2	2
39	во всех своих	3	2
40	но для того	3	2
41	в свою очередь	4	2
