N	3gram	Propp_Isto	Komedia
1	в том что	8	29
2	к тому же	4	21
3	до сих пор	7	16
4	о том что	3	13
5	в то время	2	11
6	по отношению к	2	9
7	то время как	2	9
8	с одной стороны	2	9
9	с другой стороны	10	8
10	во всяком случае	2	7
11	после того как	3	6
12	в связи с	5	6
13	и т д	30	5
14	тем не менее	6	5
15	что и в	3	4
16	т е в	2	4
17	можно было бы	2	4
18	независимо от того	2	4
19	в одном из	2	4
20	но все же	5	4
21	по сравнению с	2	4
22	наряду с этим	2	3
23	но и в	2	3
24	друг с другом	2	3
25	на то что	4	3
26	состоит в том	2	3
27	в тех случаях	2	2
28	мы имеем в	4	2
29	в большинстве случаев	2	2
30	как мы видели	7	2
31	подобно тому как	3	2
32	точно так же	8	2
33	тех случаях когда	2	2
34	том что в	2	2
35	не только в	3	2
36	в этом случае	8	2
37	так же как	7	2
38	и тем что	2	2
39	как и в	2	2
40	к этому же	2	2
41	таким образом и	2	2
42	берет на себя	2	2
