N	2gram	Ircho_Kome	Analitik
1	не только	13	71
2	и в	37	66
3	в качестве	4	61
4	но и	18	57
5	в том	24	52
6	может быть	14	52
7	в частности	4	51
8	в этом	18	51
9	как и	10	50
10	и не	28	48
11	а не	5	42
12	том что	22	40
13	при этом	11	40
14	так и	4	35
15	в мире	2	31
16	состоит в	2	30
17	представляет собой	5	30
18	не может	9	29
19	как бы	7	29
20	отнюдь не	5	29
21	а в	12	28
22	в его	12	27
23	и его	10	27
24	не в	7	26
25	но не	9	26
26	всего лишь	2	24
27	в себе	4	24
28	не случайно	3	24
29	к тому	11	22
30	и даже	6	22
31	в этой	7	22
32	что в	11	22
33	о том	21	20
34	по отношению	6	19
35	но в	7	19
36	в своей	6	19
37	то же	14	19
38	в самом	17	19
39	с его	6	19
40	в то	14	18
41	отношению к	4	18
42	с другой	5	17
43	со стороны	16	17
44	такого рода	2	17
45	в целом	4	17
46	только в	3	17
47	могут быть	3	16
48	то что	5	16
49	в пределах	3	16
50	что и	12	16
51	в их	5	15
52	прежде всего	7	15
53	в сущности	3	15
54	и на	6	15
55	между тем	6	15
56	отличие от	5	14
57	не менее	9	14
58	того же	9	14
59	мы имеем	4	14
60	себя в	3	14
61	я и	2	14
62	в отличие	3	14
63	далеко не	3	14
64	столь же	5	14
65	же время	12	14
66	ничего не	6	13
67	точки зрения	8	13
68	в начале	5	13
69	как раз	9	13
70	а также	3	13
71	в случае	2	13
72	он не	11	13
73	тому же	11	13
74	никогда не	5	12
75	и к	4	12
76	как это	5	12
77	в первой	3	12
78	еще не	10	12
79	как в	4	12
80	в конечном	2	12
81	и сам	11	12
82	даже в	3	11
83	в свою	12	11
84	это не	3	11
85	во второй	2	11
86	нуждается в	2	11
87	по своей	2	11
88	конечном счете	3	11
89	и как	3	11
90	не с	2	11
91	той же	2	11
92	в той	2	11
93	не следует	2	11
94	в конце	14	10
95	едва ли	16	10
96	все же	9	10
97	на себя	10	10
98	однако в	5	10
99	один из	6	10
100	было бы	7	10
101	с одной	5	10
102	перед лицом	2	10
103	со своей	2	10
104	здесь не	2	10
105	отношения к	2	10
106	в своем	9	9
107	не столько	3	9
108	одной стороны	4	9
109	свою очередь	10	9
110	другой стороны	2	9
111	за пределы	3	9
112	во всех	4	9
113	в результате	2	9
114	что касается	5	9
115	на фоне	2	9
116	том чтобы	4	9
117	говорит о	2	9
118	говорить о	6	9
119	таким образом	16	9
120	вместе с	16	9
121	о чем	11	8
122	роль в	3	8
123	не всегда	2	8
124	что он	15	8
125	дело с	4	8
126	одной из	4	8
127	и все	6	8
128	одного из	4	8
129	этом отношении	2	8
130	хотя и	6	8
131	в основе	3	8
132	между двумя	2	8
133	о его	4	8
134	дело не	2	8
135	если бы	18	8
136	не является	5	8
137	времени и	2	8
138	он и	5	8
139	с точки	6	8
140	с ним	10	8
141	вплоть до	2	7
142	в другом	2	7
143	и тем	4	7
144	от себя	2	7
145	в свое	2	7
146	на его	5	7
147	в ее	3	7
148	все это	7	7
149	который в	3	7
150	во всяком	3	7
151	себя и	2	7
152	несмотря на	7	7
153	как будто	3	7
154	в глазах	10	7
155	и для	7	7
156	у него	10	7
157	или иначе	3	7
158	приводит к	4	7
159	в одном	3	7
160	всяком случае	3	7
161	как мы	6	7
162	времени в	2	7
163	в таком	2	7
164	не мог	2	7
165	его в	9	6
166	из того	3	6
167	если в	4	6
168	что не	5	6
169	в силу	2	6
170	ли не	6	6
171	должен быть	2	6
172	от своего	2	6
173	не знает	7	6
174	в нем	8	6
175	ответ на	7	6
176	не будет	2	6
177	тем более	9	6
178	он был	6	6
179	при всей	2	6
180	хотя бы	5	6
181	из этих	2	6
182	же в	3	6
183	во всем	2	6
184	тем не	3	6
185	более чем	6	6
186	так или	3	6
187	на этом	3	6
188	из которых	7	6
189	из них	11	6
190	уже в	3	6
191	по его	2	6
192	вовсе не	6	6
193	не о	3	5
194	и потому	2	5
195	не могут	2	5
196	не как	2	5
197	совершенно не	2	5
198	так что	7	5
199	самом деле	13	5
200	на вопрос	5	5
201	а с	2	5
202	может служить	2	5
203	не так	4	5
204	он в	2	5
205	во втором	2	5
206	в них	6	5
207	речь идет	5	5
208	исходя из	2	5
209	а затем	4	5
210	и по	3	5
211	и до	2	5
212	мы не	6	5
213	на примере	2	5
214	к числу	2	5
215	в первом	2	5
216	этом случае	2	5
217	тот же	11	5
218	я не	4	5
219	и здесь	11	5
220	да и	3	5
221	к его	4	5
222	одно из	3	5
223	к этому	11	5
224	с другими	2	5
225	и он	5	5
226	как сам	2	5
227	как о	3	5
228	для того	9	5
229	в этих	2	5
230	такой же	2	5
231	тем что	12	5
232	за пределами	3	5
233	ни в	14	5
234	в котором	6	5
235	все что	6	5
236	что мы	4	5
237	и особенно	2	5
238	таким же	2	5
239	нового времени	5	5
240	же его	2	5
241	в отношении	4	4
242	и ее	3	4
243	в ответ	4	4
244	в области	3	4
245	в каждом	3	4
246	отношение к	7	4
247	как к	3	4
248	одним из	2	4
249	а как	2	4
250	как он	5	4
251	была бы	2	4
252	его от	5	4
253	его и	3	4
254	и о	3	4
255	к нему	8	4
256	и что	8	4
257	на себе	2	4
258	потому что	19	4
259	в чем	7	4
260	однако что	2	4
261	обращает на	3	4
262	его не	3	4
263	что же	2	4
264	здесь в	2	4
265	того чтобы	9	4
266	и во	3	4
267	то ни	4	4
268	известной степени	2	4
269	и т	5	4
270	каждом из	2	4
271	сказать что	4	4
272	и от	3	4
273	по своему	3	4
274	но при	2	4
275	с этим	5	4
276	что она	10	4
277	бы в	5	4
278	в которой	6	4
279	представляют собой	3	4
280	в двух	7	4
281	в присутствии	3	4
282	об этом	12	4
283	на него	6	4
284	человека в	4	4
285	ни было	3	4
286	себя внимание	3	4
287	здесь и	3	4
288	что по	2	4
289	не позволяет	4	4
290	между ними	4	4
291	в своих	4	4
292	аналогичным образом	2	4
293	и если	3	4
294	в диалоге	2	4
295	в устах	2	4
296	не было	6	4
297	бы не	3	4
298	и есть	3	4
299	основе своей	2	4
300	похож на	2	3
301	вопрос о	2	3
302	идет о	3	3
303	от него	2	3
304	текста не	2	3
305	один и	3	3
306	человека и	2	3
307	в обоих	2	3
308	не был	2	3
309	ему и	3	3
310	видеть в	2	3
311	в виду	3	3
312	тут же	8	3
313	и был	2	3
314	из уст	2	3
315	к своему	4	3
316	т п	5	3
317	тем как	2	3
318	себе в	6	3
319	с тем	6	3
320	же не	3	3
321	в наиболее	2	3
322	она не	3	3
323	к этой	2	3
324	тех пор	5	3
325	том числе	2	3
326	в ней	7	3
327	остается в	3	3
328	уже о	2	3
329	не говоря	2	3
330	между собой	5	3
331	этой связи	3	3
332	в тех	4	3
333	связи с	5	3
334	и я	3	3
335	в связи	4	3
336	что они	3	3
337	во время	8	3
338	никто не	2	3
339	все еще	2	3
340	из его	3	3
341	бы то	3	3
342	для этого	3	3
343	никак не	2	3
344	например в	3	3
345	тех же	3	3
346	независимо от	4	3
347	х годов	2	3
348	так как	16	3
349	можно было	3	3
350	хотя в	3	3
351	до этого	3	3
352	а о	2	3
353	в центре	2	3
354	его за	3	3
355	и тот	6	3
356	и может	2	3
357	только для	2	3
358	с этой	5	3
359	себе не	2	3
360	в какой	4	3
361	на этот	6	3
362	они не	2	3
363	человека с	2	3
364	что у	2	3
365	на то	3	3
366	представляется нам	2	3
367	когда он	5	3
368	и с	5	3
369	от своей	2	3
370	если не	7	3
371	времени не	2	3
372	персонажей в	4	3
373	а для	2	3
374	из этого	2	3
375	после чего	2	3
376	же самое	3	3
377	этих двух	2	3
378	и без	2	3
379	но он	3	3
380	с первых	3	2
381	я на	2	2
382	в доме	17	2
383	для человека	2	2
384	или к	2	2
385	так же	8	2
386	для нас	7	2
387	в одной	2	2
388	до смерти	2	2
389	даже не	5	2
390	возвращение к	2	2
391	к себе	9	2
392	не могла	3	2
393	что из	2	2
394	сюжета в	2	2
395	на пути	2	2
396	том же	2	2
397	не остается	3	2
398	ни одно	3	2
399	или менее	2	2
400	что ни	7	2
401	о будущем	2	2
402	образом в	2	2
403	любви к	5	2
404	от них	2	2
405	на месте	3	2
406	не сам	2	2
407	тому что	5	2
408	не приходится	5	2
409	следует что	3	2
410	в ту	2	2
411	с другом	3	2
412	более или	2	2
413	все его	2	2
414	по этому	3	2
415	в уста	2	2
416	к их	2	2
417	еще одно	2	2
418	что с	4	2
419	говоря уже	2	2
420	войти в	2	2
421	который по	2	2
422	требует от	4	2
423	для обозначения	2	2
424	по существу	4	2
425	мы видим	2	2
426	этой сцены	3	2
427	т е	18	2
428	бы он	3	2
429	там и	3	2
430	в сцене	2	2
431	нет ничего	4	2
432	не знаю	2	2
433	а на	3	2
434	ни был	2	2
435	на это	3	2
436	в т	3	2
437	мы можем	7	2
438	в глаза	3	2
439	до тех	5	2
440	выходят за	2	2
441	прежде чем	4	2
442	либо в	4	2
443	это делает	2	2
444	и вот	3	2
445	должен был	6	2
446	молодого человека	23	2
447	да еще	3	2
448	судя по	3	2
449	все равно	3	2
450	со всеми	2	2
451	не по	7	2
452	в течение	3	2
453	сих пор	12	2
454	но если	3	2
455	друг с	3	2
456	за ним	3	2
457	нет и	4	2
458	не имеет	6	2
459	в дальнейшем	5	2
460	раз в	3	2
461	стало быть	2	2
462	их в	3	2
463	к ним	5	2
464	еще более	4	2
465	отношения между	2	2
466	этот вопрос	2	2
467	что между	2	2
468	дома и	3	2
469	если он	3	2
470	ближе к	3	2
471	перед ним	4	2
472	к другому	2	2
473	пребывания в	2	2
474	то ли	4	2
475	представляется совершенно	2	2
476	как его	4	2
477	о которой	2	2
478	у меня	5	2
479	до сих	12	2
480	тем же	3	2
481	знаю что	2	2
