N	3gram	Propp_Morf	FransuaR
1	в том что	4	27
2	в большинстве случаев	3	22
3	в этом отношении	2	20
4	с точки зрения	6	20
5	для того чтобы	3	17
6	о том что	3	17
7	в связи с	9	16
8	на самом деле	4	13
9	не может быть	9	13
10	с одной стороны	2	13
11	а также и	5	12
12	с другой стороны	5	12
13	в данном случае	2	10
14	как и в	3	10
15	до наших дней	2	10
16	по отношению к	7	9
17	мы видим что	11	9
18	более или менее	2	8
19	в настоящее время	3	7
20	можно было бы	2	7
21	и в других	2	7
22	подобно тому как	5	7
23	о том как	2	7
24	в то время	3	7
25	но все же	4	6
26	мы имеем в	2	5
27	во всяком случае	2	5
28	в первом случае	3	5
29	может быть и	2	4
30	как мы увидим	5	4
31	в собственном смысле	3	4
32	то что в	2	4
33	связи с этим	5	4
34	бы то ни	3	3
35	что иное как	2	3
36	не входит в	2	3
37	не что иное	2	3
38	в таких случаях	2	2
39	не могут быть	4	2
40	в этом случае	10	2
41	в тех же	4	2
42	то ни было	2	2
43	друг к другу	2	2
44	мы не будем	2	2
45	друг за другом	2	2
46	далеко не все	3	2
47	мы уже видели	2	2
48	под углом зрения	2	2
