N	2gram	Bakhtin_sl	Vladivir
1	и в	69	116
2	то что	2	71
3	и не	32	67
4	не только	37	65
5	у него	5	65
6	в этом	21	53
7	в том	7	52
8	том что	6	51
9	что в	3	48
10	но и	37	47
11	в его	19	40
12	и с	10	39
13	то есть	46	37
14	сказать что	4	36
15	и даже	11	36
16	также и	5	36
17	так что	2	35
18	потому что	2	33
19	что он	2	32
20	не может	27	31
21	о том	5	30
22	только в	9	30
23	никогда не	9	29
24	как мы	15	29
25	для него	8	29
26	вовсе не	16	27
27	а в	10	27
28	не было	4	26
29	в то	17	25
30	но в	13	25
31	в себе	3	25
32	и то	2	25
33	и его	45	25
34	даже и	4	24
35	а также	5	24
36	точки зрения	24	23
37	может быть	40	23
38	он не	5	23
39	в виде	4	22
40	так как	7	22
41	кроме того	6	22
42	ни в	4	22
43	в своей	8	21
44	вместе с	3	21
45	а именно	2	20
46	в своем	9	20
47	прежде всего	14	20
48	для нас	7	20
49	и что	2	20
50	и потому	9	19
51	и вообще	2	19
52	так и	22	19
53	не менее	4	19
54	как раз	3	19
55	таким образом	16	19
56	тем не	2	19
57	не в	14	18
58	не был	2	18
59	как это	3	18
60	как и	8	18
61	хотя и	4	18
62	с его	8	18
63	что и	2	17
64	у нас	2	17
65	а не	29	17
66	уже не	5	16
67	все же	10	16
68	того что	4	16
69	было бы	3	16
70	к тому	3	16
71	и все	9	16
72	в котором	2	16
73	не есть	2	16
74	до конца	25	15
75	в связи	2	15
76	но это	3	15
77	к этому	3	15
78	это было	2	15
79	несмотря на	2	15
80	то же	17	15
81	и к	9	15
82	того же	7	14
83	уже в	2	14
84	все эти	15	14
85	и как	3	14
86	и на	17	14
87	мы уже	4	14
88	так же	2	13
89	можно сказать	2	13
90	да и	2	13
91	и от	5	13
92	в результате	4	13
93	дело в	2	13
94	не просто	2	13
95	жизни и	5	13
96	то время	2	13
97	во всем	3	13
98	и у	2	12
99	только на	3	12
100	ничего не	5	12
101	в нем	44	12
102	и по	3	12
103	связи с	4	12
104	во всяком	9	12
105	то в	2	12
106	по себе	4	12
107	всяком случае	7	12
108	в отношении	9	11
109	или менее	5	11
110	и о	3	11
111	при этом	12	11
112	все это	14	11
113	в данном	5	11
114	хотя бы	6	11
115	в которой	4	11
116	и здесь	5	11
117	на то	2	11
118	более или	5	11
119	в основном	7	11
120	даже в	4	10
121	такого рода	2	10
122	о нем	6	10
123	к нему	7	10
124	в ней	7	10
125	что все	2	10
126	в качестве	4	10
127	в истории	6	10
128	можно было	2	10
129	еще не	9	10
130	но не	7	10
131	в самом	6	10
132	с точки	11	10
133	здесь не	6	10
134	с ним	12	10
135	это не	8	9
136	но как	2	9
137	а с	2	9
138	смысле слова	2	9
139	в целом	3	9
140	по существу	3	9
141	с этим	5	9
142	и сам	4	9
143	с другой	8	9
144	именно в	5	9
145	из этого	3	9
146	же время	15	9
147	отношения к	3	9
148	но он	4	9
149	только и	3	8
150	отношение к	8	8
151	не столько	4	8
152	xix века	2	8
153	в чем	2	8
154	себя в	14	8
155	как бы	16	8
156	из этих	3	8
157	должно быть	3	8
158	с этой	3	8
159	в этих	8	8
160	как в	18	8
161	и для	7	8
162	конечно не	7	8
163	в смысле	7	8
164	и особенно	2	8
165	в свое	3	7
166	как он	2	7
167	на его	9	7
168	нисколько не	3	7
169	же в	2	7
170	бы и	6	7
171	мы видели	3	7
172	за пределы	6	7
173	или как	4	7
174	к ней	2	7
175	но все	2	7
176	в одном	4	7
177	в таком	5	7
178	и есть	2	7
179	в них	11	7
180	мы и	2	7
181	данном случае	3	6
182	его в	7	6
183	те же	3	6
184	в отличие	12	6
185	есть не	2	6
186	том же	4	6
187	к своему	11	6
188	в виду	2	6
189	отличие от	13	6
190	тому что	2	6
191	его на	2	6
192	здесь в	6	6
193	можно говорить	2	6
194	по своему	2	6
195	время как	2	6
196	другой стороны	5	6
197	и наконец	9	6
198	для того	2	6
199	же и	4	6
200	мы не	4	6
201	не с	5	6
202	или иначе	2	6
203	если мы	2	6
204	той же	3	6
205	по своей	2	6
206	и речи	4	6
207	чем в	3	6
208	но она	2	5
209	но мы	2	5
210	он никогда	2	5
211	друг друга	3	5
212	на все	3	5
213	и тем	3	5
214	в их	6	5
215	в частности	3	5
216	она не	8	5
217	он в	6	5
218	один из	9	5
219	место в	2	5
220	и до	2	5
221	что они	2	5
222	однако и	2	5
223	все то	2	5
224	во всех	25	5
225	по преимуществу	5	5
226	и часто	7	5
227	со своим	13	5
228	жизни в	2	5
229	самого же	2	5
230	но уже	2	5
231	далеко не	7	5
232	еще более	7	5
233	в свою	4	5
234	с которым	4	5
235	из них	3	5
236	и только	2	5
237	без всякого	2	5
238	всех своих	2	4
239	на самом	2	4
240	в свой	3	4
241	перед нами	7	4
242	всех этих	8	4
243	о которых	2	4
244	не могут	7	4
245	человека и	3	4
246	в духе	3	4
247	которых мы	3	4
248	как к	5	4
249	и других	5	4
250	совершенно не	2	4
251	как у	2	4
252	у них	2	4
253	одной из	4	4
254	и т	56	4
255	только с	3	4
256	в более	2	4
257	так в	2	4
