N	2gram	Berdyaev_V	StatiiOP
1	и в	16	103
2	в том	3	89
3	том что	2	77
4	в этом	4	76
5	что в	3	74
6	не только	2	60
7	и т	2	51
8	но и	5	46
9	то что	9	44
10	что он	4	42
11	в его	4	42
12	и не	20	41
13	т д	2	32
14	все это	5	29
15	тем что	2	29
16	а в	2	27
17	а не	7	27
18	но в	3	26
19	так и	4	25
20	не в	3	23
21	потому что	4	23
22	того что	5	22
23	прежде всего	2	22
24	того чтобы	2	21
25	это не	2	20
26	в своей	3	19
27	только в	2	19
28	в котором	4	18
29	как бы	5	17
30	в ней	4	16
31	можно было	2	16
32	в этих	3	16
33	с тем	2	15
34	как и	4	15
35	для него	2	15
36	к тому	3	14
37	между тем	2	14
38	я думаю	2	14
39	и что	3	14
40	в конце	3	13
41	а с	2	13
42	тому что	3	13
43	но это	3	13
44	в нем	4	13
45	во всяком	2	13
46	жизни и	3	13
47	что они	7	12
48	так как	9	12
49	хотя бы	3	12
50	ни в	3	12
51	никогда не	3	11
52	в них	3	11
53	все эти	3	11
54	не было	3	11
55	что и	3	10
56	в истории	8	10
57	во всех	3	10
58	но не	2	10
59	в чем	3	9
60	по этому	3	9
61	и для	3	9
62	для нас	2	9
63	что мы	4	9
64	и это	2	9
65	могут быть	2	8
66	не имеет	3	8
67	что все	4	7
68	и то	2	7
69	лишь в	3	7
70	еще не	8	7
71	его не	2	6
72	и все	4	6
73	и во	2	6
74	и я	4	6
75	с его	3	6
76	мы не	2	6
77	что я	3	6
78	и сам	2	6
79	в жизни	3	6
80	за то	3	6
81	говорить о	4	6
82	и за	2	6
83	на себя	5	5
84	давно уже	2	5
85	и потому	7	5
86	не так	2	5
87	что не	4	5
88	один из	2	5
89	до того	2	5
90	должна быть	3	5
91	хотя и	5	5
92	в духе	2	5
93	то это	3	5
94	по пути	5	5
95	нет и	2	5
96	ее в	2	5
97	уже не	2	5
98	оно не	3	5
99	если не	3	5
100	конечно не	2	5
101	не могут	2	4
102	одна из	2	4
103	в форме	2	4
104	всего в	2	4
105	в образе	4	4
106	и тогда	2	4
107	что было	2	4
108	да и	2	4
109	не могли	2	4
110	бы и	3	4
111	которые не	2	4
112	в последнем	2	4
113	все что	4	4
114	более чем	2	4
115	от него	2	3
116	это дело	2	3
117	и последний	2	3
118	на том	2	3
119	не будет	2	3
120	не имел	2	3
121	это еще	4	3
122	любовь к	3	3
123	а к	2	3
124	от этого	3	3
125	от которого	3	3
126	не хотел	2	3
127	является в	2	3
128	что во	3	3
129	их в	3	3
130	не к	2	3
131	что от	2	2
132	его к	2	2
133	не верит	3	2
134	что их	2	2
135	во мне	4	2
136	для них	2	2
137	вот почему	2	2
138	и они	3	2
139	тот же	3	2
140	в число	2	2
141	истории и	2	2
142	чтобы сделать	2	2
143	за ним	3	2
144	этих трех	3	2
145	превращается в	3	2
146	что есть	5	2
147	к нам	2	2
148	ли ты	2	2
149	а между	2	2
150	отвращение к	3	2
151	и теперь	2	2
152	как не	3	2
153	те которые	2	2
154	этому пути	2	2
155	мы и	2	2
