N	3gram	Berdyaev_M	Otkroven
1	о великом инквизиторе	6	6
2	о человеке и	6	5
3	записок из подполья	5	5
4	к человеку и	4	4
5	о человеке о	2	4
6	все герои достоевского	3	4
7	в записках из	2	3
8	в творчестве его	4	3
9	для того чтобы	4	3
10	дважды два четыре	4	3
11	вопрос о боге	2	3
12	в легенде о	2	3
13	до самой глубины	5	3
14	в самой глубине	4	3
15	легенде о великом	2	3
16	в романах достоевского	2	3
17	записках из подполья	2	3
18	человеческой природы в	5	2
19	и ивана карамазова	2	2
20	влечет к гибели	2	2
21	пожелать себе даже	2	2
22	а не в	4	2
23	загадка о человеке	3	2
24	и никогда не	3	2
25	в дневнике писателя	4	2
26	в этом он	4	2
27	к черту и	2	2
28	человеке и его	5	2
29	взял все что	2	2
30	он не созерцает	2	2
31	но и в	4	2
32	достоевский прежде всего	2	2
33	у достоевского было	4	2
34	может быть человек	2	2
35	с тем что	3	2
36	ни у кого	2	2
37	о человеческой природе	2	2
38	у достоевского с	3	2
39	никогда не было	2	2
40	единственно для того	2	2
41	что человеку надо	2	2
42	не могут быть	2	2
43	не может быть	22	2
