N	2gram	Savitsky_P	formyVre
1	и в	14	148
2	в этом	10	73
3	в нем	3	51
4	прежде всего	3	46
5	и т	3	40
6	и не	12	37
7	в его	2	36
8	но и	6	33
9	то же	9	32
10	не только	17	32
11	но в	9	31
12	может быть	5	27
13	не в	5	26
14	как бы	4	25
15	точки зрения	3	24
16	в то	7	23
17	только в	7	23
18	то что	4	22
19	в том	9	22
20	во всех	2	21
21	же время	7	21
22	в своем	4	19
23	с этим	2	17
24	в пределах	8	17
25	не может	4	16
26	в них	2	15
27	с точки	3	15
28	все это	2	14
29	и как	3	14
30	и с	2	14
31	как раз	2	14
32	а не	2	14
33	в частности	2	13
34	а в	4	13
35	же в	4	13
36	для того	3	13
37	в котором	4	13
38	отнюдь не	2	12
39	не было	2	12
40	время в	2	12
41	но не	3	12
42	потому что	3	12
43	что в	4	12
44	в ней	6	11
45	хотя и	3	11
46	из них	2	11
47	в ее	2	10
48	тот же	3	10
49	могут быть	3	9
50	и других	2	9
51	наряду с	3	9
52	том что	4	9
53	должно быть	2	9
54	и это	2	9
55	с другой	5	9
56	есть в	2	9
57	отношения к	2	9
58	это не	3	8
59	и потому	4	8
60	том числе	2	8
61	а также	4	8
62	если бы	4	8
63	с одной	3	8
64	в жизни	2	8
65	в мире	2	8
66	и к	4	8
67	в себе	3	7
68	того что	2	7
69	было бы	6	7
70	например в	2	7
71	еще более	2	7
72	в отношении	10	6
73	есть не	2	6
74	с тем	3	6
75	одной стороны	3	6
76	в качестве	9	6
77	во всей	2	6
78	в начале	2	6
79	мы не	3	6
80	именно в	2	6
81	в которых	5	6
82	бы ни	2	6
83	стороны и	2	5
84	xix века	6	5
85	с ними	3	5
86	в ряду	2	5
87	хотя бы	8	5
88	в порядке	3	5
89	да и	2	5
90	в смысле	6	5
91	мы должны	4	4
92	по себе	4	4
93	и о	5	4
94	именно как	2	4
95	для них	2	4
96	тем более	2	4
97	и вот	2	4
98	друг другу	2	4
99	одних и	2	4
100	не будем	2	3
101	по сравнению	2	3
102	культуры в	2	3
103	не столько	2	3
104	одна из	2	3
105	в значительной	2	3
106	как на	2	3
107	сами по	3	3
108	она ни	2	3
109	главным образом	2	3
110	что мы	3	3
111	и есть	2	3
112	не к	2	3
113	не о	2	2
114	если в	2	2
115	где в	2	2
116	между прочим	2	2
117	слова но	2	2
118	в русском	2	2
119	отношении к	5	2
120	и пр	5	2
121	было в	2	2
122	значительной мере	2	2
123	на этих	2	2
124	в xix	2	2
125	для нас	2	2
126	дети и	2	2
127	но к	2	2
128	где бы	2	2
129	говорить о	2	2
