N	2gram	Vygotskiy_	Sovremen
1	не может	11	17
2	точки зрения	27	12
3	может быть	25	12
4	таким образом	36	11
5	мы не	14	9
6	в каждом	2	8
7	не можем	4	7
8	и в	38	7
9	в этом	35	7
10	и не	16	6
11	как и	20	6
12	в результате	6	6
13	мы можем	13	6
14	с точки	11	5
15	все эти	9	5
16	прежде всего	6	5
17	вопрос о	2	4
18	мы видели	8	4
19	зависимости от	7	4
20	это не	5	4
21	не только	16	4
22	в том	59	4
23	в зависимости	6	4
24	мы должны	15	4
25	как бы	17	4
26	их в	6	4
27	так как	19	4
28	если мы	12	4
29	в дальнейшем	3	4
30	в целом	22	4
31	в развитии	46	4
32	вместе с	18	4
33	а в	7	4
34	из них	5	4
35	с помощью	64	4
36	для нас	6	3
37	не подлежит	2	3
38	и т.д	8	3
39	и мы	2	3
40	следующим образом	4	3
41	экспериментальном материале	2	3
42	видели что	4	3
43	когда мы	2	3
44	и потому	2	3
45	на этой	7	3
46	но в	4	3
47	с самого	6	3
48	при этом	13	3
49	с необходимостью	3	3
50	не в	10	3
51	все же	11	3
52	как он	8	3
53	было бы	15	3
54	в области	9	3
55	уже в	10	3
56	в себе	9	3
57	еще не	6	3
58	одна из	2	3
59	и все	5	3
60	все это	8	3
61	в нем	4	3
62	в наших	2	3
63	между собой	15	3
64	а не	7	3
65	и к	9	3
66	на две	2	3
67	что она	7	3
68	в этой	7	3
69	то же	18	3
70	мы называем	4	3
71	в одном	4	3
72	отличается от	5	3
73	самого начала	6	3
74	поэтому мы	2	3
75	отнюдь не	6	3
76	его развития	3	3
77	ясно что	4	3
78	но все	4	2
79	на его	5	2
80	на этот	5	2
81	и по	5	2
82	не знаем	2	2
83	же самое	9	2
84	всяком случае	10	2
85	что все	2	2
86	конечно в	2	2
87	значение в	5	2
88	которой он	2	2
89	роль в	5	2
90	не менее	8	2
91	той же	8	2
92	ли оно	5	2
93	не могут	5	2
94	для развития	5	2
95	мы видим	13	2
96	в его	22	2
97	с этим	6	2
98	и что	15	2
99	то и	5	2
100	во всяком	10	2
101	и во	4	2
102	с другом	10	2
103	помощью которых	8	2
104	такого рода	7	2
105	приводит к	5	2
106	что при	3	2
107	свою очередь	3	2
108	из этих	5	2
109	в самом	8	2
110	в виде	4	2
111	что в	31	2
112	в таком	4	2
113	в которой	4	2
114	у него	3	2
115	такой же	4	2
116	самом деле	4	2
117	со всеми	9	2
118	в живом	3	2
119	уже не	3	2
120	в свою	4	2
121	в нашем	2	2
122	для его	2	2
123	этой стадии	6	2
124	могут быть	9	2
125	в один	4	2
126	в отличие	8	2
127	отличие от	8	2
128	тот же	10	2
129	с одной	8	2
130	на этом	3	2
131	как мы	14	2
132	не дает	2	2
133	мы знаем	10	2
134	что это	8	2
135	или иной	3	2
136	тем не	6	2
137	на котором	3	2
138	из которых	6	2
139	как известно	7	2
140	и даже	4	2
141	тем же	8	2
142	друг с	10	2
143	некоторое время	2	2
144	развития в	4	2
