N	2gram	Bakhtin_KF	slovoVRo
1	и в	28	92
2	в нем	32	59
3	может быть	45	59
4	и его	18	59
5	и не	28	51
6	не только	5	44
7	не может	29	41
8	но и	9	39
9	до конца	3	37
10	в этом	15	36
11	а не	17	34
12	во всех	11	32
13	так и	2	30
14	точки зрения	13	30
15	могут быть	3	29
16	в его	42	27
17	слова в	2	26
18	все это	10	25
19	как бы	9	24
20	то же	5	23
21	и на	3	22
22	не в	13	21
23	как в	2	21
24	вовсе не	7	21
25	в то	3	20
26	в процессе	2	20
27	прежде всего	4	19
28	или иной	2	18
29	как и	5	18
30	себя в	8	18
31	же время	2	18
32	с ним	5	18
33	все же	5	17
34	оно не	2	17
35	все эти	11	17
36	в основе	5	17
37	при этом	4	16
38	но в	5	16
39	там где	5	15
40	той или	3	15
41	с точки	10	15
42	человек и	2	15
43	только в	18	14
44	это не	10	13
45	рядом с	3	13
46	с его	2	13
47	отношении к	2	13
48	и для	10	13
49	никогда не	5	12
50	и потому	2	12
51	отношение к	6	12
52	а в	5	12
53	еще не	5	12
54	один из	2	11
55	с ними	4	11
56	всех его	2	11
57	для него	13	11
58	все они	2	10
59	в своем	17	10
60	и их	6	10
61	в том	6	10
62	и все	9	10
63	она не	2	10
64	в себе	21	10
65	всех этих	3	10
66	в него	2	10
67	лишь в	8	10
68	уже не	7	10
69	может не	2	10
70	его в	5	9
71	и других	2	9
72	к нему	12	9
73	в их	9	9
74	и мир	2	9
75	в своей	11	9
76	с ее	2	9
77	но не	12	9
78	в смысле	6	9
79	конечно не	7	9
80	он не	6	9
81	быть и	3	9
82	человека и	3	8
83	в ней	3	8
84	входит в	4	8
85	для нас	4	8
86	том что	4	7
87	от него	3	7
88	о нем	4	7
89	единый и	3	7
90	но здесь	3	7
91	в целом	10	7
92	смысла и	2	7
93	мышления и	2	7
94	здесь не	3	7
95	но все	6	7
96	еще более	2	7
97	жизни и	8	7
98	на своем	3	7
99	не было	8	7
100	во всем	7	7
101	ничего не	3	6
102	слово не	3	6
103	как к	2	6
104	единого и	9	6
105	бы и	3	6
106	что в	4	6
107	ни в	12	6
108	нем и	3	6
109	в контексте	5	6
110	дело с	2	6
111	в качестве	2	6
112	говорить о	2	6
113	и здесь	7	6
114	хотя бы	5	6
115	и единственный	5	6
116	именно в	5	6
117	в свою	3	6
118	себя и	5	6
119	подхода к	2	6
120	по себе	2	6
121	в одном	5	6
122	мира и	4	6
123	и единственного	12	6
124	между тем	4	6
125	в каждом	3	5
126	не как	4	5
127	а как	2	5
128	не знает	5	5
129	не менее	3	5
130	отношению к	22	5
131	мы не	3	5
132	должен быть	7	5
133	для этого	2	5
134	в данном	2	5
135	по отношению	26	5
136	и может	3	5
137	для того	3	5
138	его и	2	5
139	должна быть	4	5
140	о том	3	5
141	и этим	3	5
142	данный момент	3	5
143	как его	4	5
144	лежат в	3	4
145	его на	2	4
146	но как	5	4
147	и ее	2	4
148	вокруг него	2	4
149	в другом	3	4
150	что и	7	4
151	в виду	3	4
152	что он	2	4
153	в виде	2	4
154	того что	3	4
155	может иметь	2	4
156	как предмет	2	4
157	но конечно	3	4
158	в чем	4	4
159	тогда когда	3	4
160	момент его	9	4
161	того чтобы	2	4
162	всех своих	4	4
163	но это	6	4
164	его как	5	4
165	дело не	2	4
166	к единому	3	4
167	и как	2	4
168	если бы	8	4
169	смысле в	2	4
170	со всеми	2	4
171	или как	2	4
172	быть только	8	4
173	от его	5	4
174	он может	2	4
175	в контекст	2	4
176	из него	4	4
177	именно на	2	4
178	в себя	8	4
179	время и	5	3
180	нисколько не	4	3
181	включает в	2	3
182	а лишь	3	3
183	себе как	2	3
184	но эта	6	3
185	людей и	3	3
186	тому что	2	3
187	только с	3	3
188	его с	2	3
189	было бы	8	3
190	этого слова	2	3
191	в корне	3	3
192	конечно в	2	3
193	и то	2	3
194	даны в	2	3
195	или иного	3	3
196	к этому	2	3
197	того или	3	3
198	в сознании	2	3
199	ним и	3	3
200	как оно	2	3
201	от этого	2	3
202	дело в	2	3
203	должно быть	6	3
204	менее всего	6	3
205	действительности в	2	3
206	в составе	2	3
207	это было	2	3
208	но лишь	7	3
209	тем что	3	3
210	сознания в	2	3
211	жизни в	5	3
212	нами в	2	3
213	смысл и	6	3
214	лишь как	3	3
215	и единство	3	3
216	и свой	2	3
217	где она	2	3
218	не должно	3	3
219	не есть	22	3
220	в этой	2	3
221	на нем	2	3
222	потому что	2	3
223	и это	12	3
224	из себя	11	3
225	и тем	3	3
226	каждый момент	2	2
227	абстрактный момент	2	2
228	на самом	3	2
229	своих моментах	2	2
230	к себе	2	2
231	и есть	10	2
232	и эти	2	2
233	это и	3	2
234	возможности в	2	2
235	не остается	2	2
236	и за	2	2
237	тем как	3	2
238	и ни	3	2
239	нем не	2	2
240	а с	2	2
241	то что	7	2
242	по своему	3	2
243	предмета в	3	2
244	поступка и	7	2
245	смысле не	2	2
246	в едином	10	2
247	к ним	4	2
248	не из	2	2
249	и само	2	2
250	субъективный процесс	3	2
251	и та	3	2
252	себя как	2	2
253	в единство	3	2
254	что не	3	2
255	место в	6	2
256	в ее	17	2
257	лишь при	3	2
258	вступить в	2	2
259	только как	4	2
260	вне ее	4	2
261	войти в	3	2
