N	2gram	Tiupa_Anal	Myshleni
1	в том	36	195
2	внутренней речи	9	191
3	в этом	31	167
4	то что	11	166
5	и в	30	162
6	том что	21	161
7	таким образом	5	147
8	точки зрения	10	143
9	что в	7	119
10	не только	30	116
11	того что	5	109
12	в процессе	2	101
13	речи и	2	99
14	потому что	3	95
15	того чтобы	3	91
16	может быть	33	89
17	с точки	6	89
18	что он	3	86
19	не может	26	81
20	как и	23	79
21	так как	3	78
22	для того	4	78
23	и не	33	78
24	только в	8	75
25	в целом	9	74
26	как мы	3	72
27	но и	29	70
28	речи в	3	70
29	заключается в	2	67
30	в его	15	67
31	сказать что	2	65
32	как бы	15	64
33	вместе с	6	62
34	в качестве	38	60
35	и что	2	60
36	было бы	4	60
37	представляет собой	23	60
38	то же	12	58
39	в основе	6	58
40	в отношении	2	55
41	могли бы	2	54
42	что мы	3	53
43	в силу	4	53
44	между собой	2	53
45	в самом	12	52
46	в сущности	10	51
47	мы должны	2	50
48	к тому	12	49
49	тем что	2	48
50	тогда когда	3	47
51	на основе	3	47
52	если бы	6	46
53	но не	13	45
54	с другой	7	45
55	по отношению	10	45
56	тем самым	9	43
57	как это	5	42
58	тому что	2	42
59	отношению к	9	42
60	в ходе	5	41
61	не является	3	41
62	по своей	6	40
63	одной стороны	6	40
64	о том	11	40
65	так и	16	39
66	никогда не	4	39
67	с одной	7	39
68	в области	4	38
69	вопрос о	2	37
70	не в	17	37
71	в этой	12	37
72	и к	5	37
73	в своем	2	36
74	все эти	3	36
75	и его	9	36
76	как в	3	36
77	а не	25	36
78	того же	7	35
79	друг с	2	35
80	с другом	2	35
81	он не	4	35
82	в которой	3	35
83	в себе	17	35
84	для себя	3	35
85	и т.д	4	35
86	во внутренней	2	34
87	и как	6	34
88	связи с	2	34
89	приводит к	2	34
90	при этом	20	33
91	прежде всего	8	33
92	по себе	6	33
93	нас к	2	32
94	что и	5	32
95	именно в	6	32
96	же самое	3	32
97	но в	11	32
98	той же	4	32
99	и тем	4	32
100	и на	10	32
101	и то	4	31
102	из того	5	31
