N	2gram	Trubetskoy	Tragedij
1	и в	24	18
2	в этом	13	9
3	не только	10	8
4	и не	9	7
5	и на	6	7
6	как бы	10	7
7	и с	5	7
8	может быть	17	7
9	же время	2	6
10	что он	7	6
11	но в	5	6
12	и его	2	6
13	у него	5	6
14	несмотря на	6	5
15	что это	5	5
16	все же	15	5
17	это не	3	5
18	то же	4	5
19	как и	10	5
20	в дальнейшем	4	5
21	так и	10	5
22	не может	18	5
23	в то	6	5
24	что в	9	4
25	еще не	6	4
26	в целом	5	4
27	но и	11	4
28	прежде всего	3	4
29	том что	20	4
30	в этой	7	4
31	и что	9	4
32	так же	8	4
33	и все	9	4
34	все это	13	4
35	в нем	3	4
36	то что	18	4
37	я не	2	4
38	в себе	5	4
39	что за	2	3
40	в мире	6	3
41	тем самым	3	3
42	к нему	2	3
43	в своем	12	3
44	при этом	9	3
45	в его	5	3
46	что с	6	3
47	все эти	19	3
48	отнюдь не	2	3
49	с ее	2	3
50	и сам	2	3
51	как будто	5	3
52	никто не	2	3
53	должно быть	5	3
54	жизнь и	3	3
55	для него	2	3
56	то есть	2	3
57	в конце	4	3
58	с ним	6	3
59	никогда не	4	2
60	в самом	8	2
61	и то	4	2
62	но все	5	2
63	данном случае	3	2
64	с тем	4	2
65	одна из	2	2
66	даже если	3	2
67	друг друга	2	2
68	вопрос о	3	2
69	его в	5	2
70	не имеет	2	2
71	в виде	4	2
72	то и	2	2
73	нет в	2	2
74	состоит из	4	2
75	в данном	3	2
76	не могут	4	2
77	что все	5	2
78	к тому	8	2
79	о том	7	2
80	что и	7	2
81	не в	9	2
82	столь же	5	2
83	потому что	9	2
84	между этими	2	2
85	в частности	2	2
86	как у	3	2
87	в таком	4	2
88	так что	6	2
89	он не	4	2
90	и ее	2	2
91	ничем не	5	2
92	что она	2	2
93	что эти	2	2
94	этими двумя	2	2
95	и это	3	2
96	не так	4	2
97	отличие от	3	2
98	в том	31	2
99	и до	3	2
100	в глазах	2	2
101	отношение к	4	2
