N	2gram	Tiupa_Teor	PoTuStor
1	может быть	22	17
2	и в	24	16
3	в этом	12	9
4	таким образом	3	9
5	прежде всего	3	9
6	точки зрения	11	8
7	не может	8	8
8	и его	11	8
9	сказать что	4	7
10	не только	24	7
11	с его	6	7
12	и это	2	6
13	с точки	3	6
14	самом деле	2	6
15	я и	2	6
16	и к	3	6
17	для него	5	6
18	при этом	20	6
19	ни в	5	5
20	все эти	3	5
21	что такое	2	5
22	как бы	8	5
23	еще не	6	5
24	в чем	2	5
25	отношение к	7	5
26	и на	2	4
27	все это	2	4
28	его в	4	4
29	в его	12	4
30	и ее	4	4
31	но и	14	4
32	и не	17	4
33	но в	12	4
34	в этой	3	4
35	с ее	4	4
36	только в	9	4
37	в нем	7	4
38	с ними	2	4
39	можно сказать	5	4
40	так и	14	4
41	для всех	2	4
42	отнюдь не	3	4
43	и даже	2	4
44	художественного творчества	5	4
45	что в	10	3
46	и притом	3	3
47	и как	3	3
48	и потому	3	3
49	а в	15	3
50	в том	20	3
51	их в	3	3
52	и вот	3	3
53	с другими	6	3
54	между ними	6	3
55	в области	7	3
56	только на	2	3
57	в большинстве	2	3
58	на две	3	3
59	в этих	4	3
60	в конечном	6	3
61	отношения к	4	3
62	с их	2	3
63	как это	10	3
64	то что	6	3
65	во всех	3	3
66	мира и	4	3
67	могут быть	5	3
68	вместе с	2	3
69	в одном	3	3
70	этом смысле	3	3
71	и др	3	3
72	на этом	2	3
73	том что	11	3
74	в основе	6	3
75	один из	2	2
76	никогда не	4	2
77	по своему	4	2
78	в них	2	2
79	сознания при	2	2
80	в жизни	3	2
81	в каком	2	2
82	в одно	2	2
83	и для	3	2
84	и по	3	2
85	а на	3	2
86	что и	2	2
87	не менее	6	2
88	ее в	2	2
89	не могут	2	2
90	сводится к	12	2
91	о том	2	2
92	то же	12	2
93	как и	6	2
94	что он	4	2
95	так же	2	2
96	говорить о	4	2
97	того же	4	2
98	в своей	8	2
99	себя и	2	2
100	это делает	2	2
101	ни было	2	2
102	из этих	3	2
103	но как	2	2
104	в самом	7	2
105	с этой	3	2
106	не на	4	2
107	в частности	23	2
108	что можно	3	2
109	он не	5	2
110	у него	2	2
111	своей жизни	2	2
112	во всей	3	2
113	для меня	2	2
114	если мы	2	2
115	при всей	2	2
116	и о	5	2
117	оно не	2	2
118	в душе	9	2
119	за пределы	2	2
120	конечном счете	6	2
121	из тех	2	2
122	только и	2	2
123	не знает	4	2
124	в пределах	5	2
125	и т.п	7	2
126	есть в	3	2
127	не будет	3	2
128	на основе	2	2
129	между собой	3	2
130	в итоге	3	2
