N	3gram	Voloshinov	slovoVRo
1	не может быть	23	19
2	в то же	7	18
3	то же время	7	18
4	той или иной	5	15
5	с точки зрения	31	15
6	в узком смысле	4	14
7	в отличие от	7	14
8	или иной степени	2	13
9	в той или	3	13
10	в отношении к	7	12
11	в большинстве случаев	7	11
12	с одной стороны	2	11
13	более или менее	3	9
14	в пределах одного	2	9
15	в этом случае	3	9
16	во всяком случае	4	8
17	в зависимости от	2	8
18	но в то	6	7
19	в значительной степени	3	7
20	так и в	2	6
21	как мы сказали	4	6
22	с другой стороны	6	6
23	но все же	4	6
24	в том что	9	5
25	в этом отношении	4	5
26	не только в	2	5
27	может быть и	8	5
28	как мы уже	3	5
29	по отношению к	9	5
30	во всех областях	2	5
31	на первый план	2	4
32	для того чтобы	7	4
33	с установкой на	2	4
34	друг с другом	2	4
35	в точном смысле	5	4
36	и не может	11	4
37	до сих пор	10	4
38	можно сказать что	4	4
39	языка в смысле	2	4
40	в свою очередь	5	4
41	не могут быть	3	4
42	одно и то	3	3
43	в широком смысле	2	3
44	до известной степени	2	3
45	как мы видели	4	3
46	к тому что	4	3
47	свое выражение в	2	3
48	и то же	3	3
49	в собственном смысле	2	3
50	со всех сторон	2	3
51	конечно не только	2	3
52	между этими двумя	2	3
53	в связи с	12	3
54	и не в	3	3
55	в процессе его	2	3
56	того или иного	2	3
57	сама по себе	2	3
58	как если бы	6	3
59	же как и	2	2
60	точки зрения самого	2	2
61	в первом случае	3	2
62	тот или иной	2	2
63	то же слово	2	2
64	а следовательно и	2	2
65	на данном языке	2	2
66	о том что	2	2
67	можно было бы	2	2
68	с самого начала	9	2
69	рано или поздно	2	2
70	но и в	3	2
71	так и от	3	2
72	слово как мы	2	2
73	языка и не	2	2
74	тем не менее	3	2
